emp_title,emp_length,state,homeownership,annual_income,verified_income,debt_to_income,annual_income_joint,verification_income_joint,debt_to_income_joint,delinq_2y,months_since_last_delinq,earliest_credit_line,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,num_collections_last_12m,num_historical_failed_to_pay,months_since_90d_late,current_accounts_delinq,total_collection_amount_ever,current_installment_accounts,accounts_opened_24m,months_since_last_credit_inquiry,num_satisfactory_accounts,num_accounts_120d_past_due,num_accounts_30d_past_due,num_active_debit_accounts,total_debit_limit,num_total_cc_accounts,num_open_cc_accounts,num_cc_carrying_balance,num_mort_accounts,account_never_delinq_percent,tax_liens,public_record_bankrupt,loan_purpose,application_type,loan_amount,term,interest_rate,installment,grade,sub_grade,issue_month,loan_status,initial_listing_status,disbursement_method,balance,paid_total,paid_principal,paid_interest,paid_late_fees
president,9.0,AZ,MORTGAGE,110000.0,Verified,38.3,162000.0,Source Verified,26.48,0,,2006,6,27,15,386384,94425,0,1,,0,0,5,6,8.0,15,0.0,0,5,18100,13,8,7,2,100.0,0,1,credit_card,joint,30000,36,7.96,939.54,A,A5,Mar-2018,Current,whole,Cash,27765.09,2719.12,2234.91,484.21,0.0
lunchroom supervisor,1.0,MI,MORTGAGE,12000.0,Not Verified,5.6,152000.0,Not Verified,17.04,0,,2006,0,17,4,44800,160,0,0,,0,0,0,2,19.0,4,0.0,0,3,44800,8,4,3,0,100.0,0,0,debt_consolidation,joint,40000,36,5.32,1204.6,A,A1,Jan-2018,Current,whole,Cash,34817.92,6011.18,5182.08,829.1,0.0
"manager, fp&a",1.0,CA,RENT,185000.0,Not Verified,9.22,,,,0,,2000,1,6,4,102500,47115,0,0,,0,0,1,1,12.0,4,0.0,0,2,81500,5,3,2,0,100.0,0,0,credit_card,individual,15000,36,9.92,483.45,B,B2,Mar-2018,Current,whole,Cash,13912.71,1442.08,1087.29,354.79,0.0
graphic designer,1.0,OR,OWN,35000.0,Source Verified,10.29,,,,0,,2012,0,7,4,20960,12788,0,0,,0,0,1,1,,4,0.0,0,3,19500,3,3,3,0,100.0,0,0,debt_consolidation,individual,12000,36,11.98,398.46,B,B5,Mar-2018,Current,whole,Cash,11155.65,1187.39,844.35,343.04,0.0
teacher,2.0,NY,RENT,50000.0,Not Verified,31.88,,,,0,,2001,0,41,15,221481,173984,1,0,,0,580,8,2,22.0,15,0.0,0,3,51700,11,7,3,0,100.0,0,0,credit_card,individual,6000,36,6.08,182.75,A,A2,Jan-2018,Current,whole,Cash,5230.49,911.72,769.51,142.21,0.0
fire fighter,1.0,MA,MORTGAGE,91000.0,Source Verified,11.79,,,,0,,2009,1,15,8,45900,26868,0,0,,0,0,1,1,5.0,8,0.0,0,5,23000,8,7,7,2,100.0,0,0,debt_consolidation,individual,26650,36,9.44,852.94,B,B1,Jan-2018,Current,whole,Cash,23382.53,4250.72,3267.47,983.25,0.0
dental hygienist ,6.0,TX,OWN,63360.0,Verified,17.37,,,,1,7.0,2008,0,28,20,88748,61435,0,0,28.0,0,0,11,2,18.0,20,0.0,0,1,5000,11,9,1,0,88.9,0,0,other,individual,10000,36,7.97,313.23,A,A5,Feb-2018,Current,whole,Cash,9002.87,1244.06,997.13,246.93,0.0
nanny,1.0,WI,RENT,27000.0,Not Verified,18.22,,,,0,,1999,0,23,8,71380,35109,0,0,,0,0,3,1,,8,,0,4,27400,12,5,4,2,100.0,0,0,credit_card,individual,3500,36,6.08,106.61,A,A2,Jan-2018,Current,fractional,Cash,3141.78,425.26,358.22,67.04,0.0
information technology,10.0,TX,MORTGAGE,125000.0,Source Verified,12.03,,,,0,,2001,3,30,12,134917,47939,0,0,,0,57,3,7,6.0,12,0.0,0,2,53200,14,9,3,5,100.0,0,0,debt_consolidation,individual,21000,36,6.71,645.64,A,A3,Mar-2018,Current,whole,Cash,19940.62,1275.62,1059.38,216.24,0.0
,,CA,OWN,120000.0,Verified,16.0,242000.0,Verified,32.7,0,,1971,1,22,13,355333,43813,0,0,,0,0,2,3,10.0,13,0.0,0,4,100300,12,10,6,1,100.0,0,0,debt_consolidation,joint,40000,60,7.34,798.49,A,A4,Mar-2018,Current,whole,Cash,38328.35,2379.16,1671.65,707.51,0.0
empowerment leader,10.0,IL,MORTGAGE,180000.0,Source Verified,9.31,,,,0,54.0,2006,2,37,21,394641,99831,0,0,61.0,0,1399,4,7,2.0,21,0.0,0,8,88400,16,14,10,2,85.3,0,0,credit_card,individual,8500,36,9.92,273.96,B,B2,Mar-2018,Current,whole,Cash,7883.85,824.23,616.15,208.08,0.0
nurse/hbo technician,10.0,OH,MORTGAGE,54000.0,Source Verified,30.71,78000.0,Not Verified,30.68,0,,1997,1,14,10,179733,40920,0,0,,0,0,1,2,3.0,10,0.0,0,4,37600,9,8,6,1,100.0,0,0,debt_consolidation,joint,16000,36,7.97,501.17,A,A5,Jan-2018,Current,whole,Cash,13999.08,2498.77,2000.92,497.85,0.0
logistics spealist,10.0,OK,MORTGAGE,160482.0,Not Verified,36.19,,,,0,,1993,0,46,26,780142,192084,0,0,,0,0,12,4,,26,0.0,0,5,54900,18,12,8,5,100.0,0,0,debt_consolidation,individual,12000,36,7.96,375.82,A,A5,Mar-2018,Current,whole,Cash,11105.43,1122.15,894.57,227.58,0.0
teacher,10.0,FL,RENT,41000.0,Not Verified,8.99,,,,0,35.0,2005,0,18,9,43611,7048,0,0,80.0,0,0,0,2,23.0,9,0.0,0,4,28500,15,8,6,0,88.9,0,0,debt_consolidation,individual,1000,36,7.35,31.04,A,A4,Jan-2018,Current,whole,Cash,873.89,154.38,126.11,28.27,0.0
associate,3.0,NJ,RENT,200000.0,Source Verified,2.28,,,,0,,2012,0,10,8,40400,7316,0,0,,0,0,1,2,,8,0.0,0,3,24300,8,7,3,0,100.0,0,0,debt_consolidation,individual,40000,36,7.35,1241.5,A,A4,Jan-2018,Current,whole,Cash,34956.09,6166.67,5043.91,1122.76,0.0
,,IL,MORTGAGE,55000.0,Not Verified,18.68,,,,0,,1993,2,28,17,291000,30366,0,0,,0,0,1,5,1.0,17,0.0,0,5,68500,23,15,6,3,100.0,0,0,credit_card,individual,15000,36,6.71,461.18,A,A3,Mar-2018,Current,whole,Cash,13861.74,1377.95,1138.26,239.69,0.0
senior field services rep,10.0,NJ,MORTGAGE,70566.0,Not Verified,15.18,,,,0,,1989,1,16,8,420675,19427,0,0,,0,0,1,1,5.0,8,0.0,0,5,56900,13,6,5,2,100.0,0,0,car,individual,6000,36,6.08,182.75,A,A2,Jan-2018,Current,fractional,Cash,5230.49,908.68,769.51,139.17,0.0
sales,2.0,WI,MORTGAGE,55000.0,Not Verified,11.37,,,,0,,2004,1,30,14,273750,18396,0,0,,0,0,1,5,7.0,14,0.0,0,6,41800,21,12,6,2,100.0,0,0,debt_consolidation,individual,19000,60,7.34,379.28,A,A4,Mar-2018,Current,whole,Cash,18205.97,1122.34,794.03,328.31,0.0
program specialist,4.0,SD,MORTGAGE,50000.0,Source Verified,37.3,137048.0,Source Verified,15.01,0,,1991,4,45,15,399604,68440,0,0,,0,0,3,3,4.0,15,0.0,0,5,22300,24,11,7,6,100.0,0,0,debt_consolidation,joint,39600,36,7.35,1229.09,A,A4,Jan-2018,Current,whole,Cash,34606.5,6129.28,4993.5,1135.78,0.0
sales,2.0,TX,RENT,55000.0,Source Verified,13.38,,,,0,,2008,0,16,6,96347,55551,0,0,,0,0,2,1,20.0,6,0.0,0,2,28300,4,4,2,0,100.0,0,0,other,individual,16000,60,9.93,339.41,B,B2,Jan-2018,Current,whole,Cash,15161.63,1348.81,838.37,510.44,0.0
research engineer,1.0,NY,MORTGAGE,180000.0,Source Verified,0.17,,,,1,23.0,2012,7,11,6,474200,415,0,0,,0,0,0,2,2.0,6,0.0,0,1,52000,10,5,1,1,90.9,0,0,major_purchase,individual,40000,36,7.35,1241.5,A,A4,Feb-2018,Fully Paid,whole,Cash,0.0,40466.027536259,40000.0,466.03,0.0
service manager,10.0,AL,OWN,60000.0,Not Verified,18.74,,,,0,,1993,1,30,18,78385,33741,0,0,,0,0,2,3,8.0,18,0.0,0,8,36000,23,16,10,1,100.0,0,0,house,individual,10000,36,5.32,301.15,A,A1,Jan-2018,Current,whole,Cash,8704.48,1502.79,1295.52,207.27,0.0
cnc machinist ,0.0,ND,RENT,45000.0,Source Verified,13.04,,,,0,,2001,2,24,7,60100,24335,0,0,,0,0,0,0,3.0,7,0.0,0,4,49700,13,7,5,6,100.0,0,0,other,individual,30000,60,10.9,650.78,B,B4,Feb-2018,Current,whole,Cash,28856.21,1934.17,1143.79,790.38,0.0
branch manager,10.0,NV,MORTGAGE,185000.0,Not Verified,17.96,,,,0,,1992,0,26,14,430223,75695,0,0,,0,0,2,2,20.0,14,0.0,0,3,75000,16,11,8,3,100.0,0,0,debt_consolidation,individual,25000,36,6.07,761.35,A,A2,Feb-2018,Current,whole,Cash,22441.1,3036.97,2558.9,478.07,0.0
owner,0.0,AL,OWN,25000.0,Verified,6.72,,,,0,72.0,2009,2,28,6,114005,3185,0,0,,0,0,1,4,0.0,6,0.0,0,1,16900,6,3,1,2,96.4,0,0,other,individual,8000,36,10.9,261.54,B,B4,Feb-2018,Fully Paid,whole,Cash,0.0,8141.5294346127,8000.0,141.53,0.0
district operations manager ,10.0,CA,MORTGAGE,105000.0,Verified,23.47,,,,0,26.0,2006,2,19,9,571449,61249,0,0,,0,0,2,3,8.0,9,0.0,0,3,16700,7,6,5,2,100.0,0,0,major_purchase,individual,28000,36,7.97,877.04,A,A5,Jan-2018,Current,whole,Cash,18432.5,10372.8,9567.5,805.3,0.0
factory worker,0.0,OR,MORTGAGE,65000.0,Not Verified,20.22,,,,0,,1995,4,14,10,249980,32622,0,0,,0,0,1,1,0.0,10,0.0,0,7,34500,9,8,7,1,100.0,0,0,other,individual,2500,36,6.72,76.88,A,A3,Jan-2018,Current,whole,Cash,2182.06,382.53,317.94,64.59,0.0
shipping foreman,10.0,TX,MORTGAGE,45000.0,Verified,21.89,,,,0,,2007,3,5,5,227162,45310,0,0,,0,0,1,3,7.0,5,0.0,0,1,8000,3,3,2,1,100.0,0,0,debt_consolidation,individual,10400,36,6.72,319.8,A,A3,Jan-2018,Current,whole,Cash,9077.47,1595.12,1322.53,272.59,0.0
pharmacy ,6.0,OH,RENT,41000.0,Verified,20.4,,,,0,,2008,0,46,24,73950,69721,0,0,,0,0,19,0,,24,0.0,0,2,11900,9,5,4,0,100.0,0,0,credit_card,individual,16000,36,7.97,501.17,A,A5,Jan-2018,Current,fractional,Cash,13999.08,2491.68,2000.92,490.76,0.0
social worker ,5.0,SC,MORTGAGE,40000.0,Source Verified,17.88,,,,0,,2008,3,43,13,299130,192041,0,0,,0,0,5,11,2.0,13,0.0,0,2,9100,18,7,2,1,97.7,0,0,debt_consolidation,individual,8300,36,7.96,259.94,A,A5,Mar-2018,Current,whole,Cash,7888.94,512.66,411.06,101.6,0.0
"sr manager, global payroll",0.0,CA,MORTGAGE,211000.0,Not Verified,2.53,,,,0,25.0,2007,2,15,9,579093,21517,0,1,,0,0,1,5,5.0,9,0.0,0,3,28500,7,7,5,5,93.3,0,1,credit_card,individual,10000,36,5.31,301.11,A,A1,Mar-2018,Current,whole,DirectPay,9485.14,599.27,514.86,84.41,0.0
employee health care specialist,10.0,WA,MORTGAGE,85000.0,Not Verified,11.18,,,,0,46.0,1993,1,25,9,318823,47525,0,0,,0,0,3,1,10.0,9,0.0,0,3,50200,7,5,3,5,95.8,0,0,home_improvement,individual,7000,36,6.08,213.21,A,A2,Jan-2018,Current,fractional,Cash,6102.23,1060.14,897.77,162.37,0.0
graduate research associate,2.0,AZ,RENT,23500.0,Source Verified,20.4,,,,0,,2009,1,11,7,59751,28169,0,0,,0,0,3,2,8.0,7,0.0,0,2,34900,4,4,2,0,100.0,0,0,debt_consolidation,individual,12000,36,7.34,372.4,A,A4,Feb-2018,Fully Paid,whole,Cash,0.0,12102.4085695197,12000.0,102.41,0.0
gs-11 logistics specialist,10.0,OH,MORTGAGE,120000.0,Source Verified,22.27,,,,0,,1999,1,44,15,197484,95374,0,0,,0,0,4,2,5.0,15,0.0,0,5,53300,21,9,6,3,100.0,0,0,moving,individual,8000,36,6.0,243.35,A,A2,Feb-2018,Current,whole,Cash,7179.49,973.23,820.51,152.72,0.0
electronic tech,8.0,FL,RENT,55000.0,Not Verified,25.25,,,,0,,2005,0,15,12,75598,30854,0,0,,0,0,2,4,22.0,12,0.0,0,6,23500,13,10,8,0,100.0,0,0,vacation,individual,4500,36,7.35,139.67,A,A4,Jan-2018,Current,whole,Cash,3932.55,696.51,567.45,129.06,0.0
account executive,9.0,NC,MORTGAGE,79500.0,Source Verified,13.62,,,,0,67.0,1987,0,11,5,322754,32717,0,0,,0,0,1,2,,5,0.0,0,2,29000,4,3,2,1,90.9,0,0,credit_card,individual,22000,36,6.72,676.49,A,A3,Jan-2018,Current,fractional,Cash,19202.39,3366.02,2797.61,568.41,0.0
technician,0.0,FL,MORTGAGE,163000.0,Source Verified,13.35,,,,0,,2011,2,26,13,247883,86410,0,1,,0,0,5,5,9.0,13,0.0,0,2,22200,10,7,3,2,100.0,0,1,debt_consolidation,individual,24000,36,5.32,722.76,A,A1,Jan-2018,Current,whole,DirectPay,20890.75,3599.61,3109.25,490.36,0.0
equipment operator,10.0,WV,MORTGAGE,83233.0,Not Verified,9.75,,,,0,,2005,0,22,8,26933,12664,0,0,,0,0,2,1,,8,0.0,0,6,10700,8,6,6,1,100.0,0,0,debt_consolidation,individual,10000,36,9.43,320.01,B,B1,Mar-2018,Current,whole,Cash,9270.01,954.79,729.99,224.8,0.0
owner,7.0,FL,RENT,65000.0,Source Verified,5.27,,,,0,,2006,1,7,6,22800,10483,0,0,,0,0,0,1,5.0,6,0.0,0,5,20800,7,6,5,0,100.0,0,0,credit_card,individual,10000,36,9.93,322.35,B,B2,Jan-2018,Current,whole,Cash,8782.01,1597.96,1217.99,379.97,0.0
driver,5.0,CA,RENT,25000.0,Source Verified,11.14,,,,0,,2003,0,12,8,16200,5846,0,1,,0,0,0,4,13.0,8,0.0,0,5,13000,11,8,7,0,100.0,0,1,debt_consolidation,individual,5000,36,11.98,166.03,B,B5,Mar-2018,Current,whole,Cash,4648.17,491.43,351.83,139.6,0.0
server,1.0,NY,RENT,28000.0,Not Verified,37.21,,,,0,,2004,1,7,5,77768,30878,0,0,,0,0,1,2,2.0,5,0.0,0,2,46000,4,4,2,0,100.0,0,0,credit_card,individual,5000,36,6.72,153.75,A,A3,Jan-2018,Current,whole,Cash,4364.17,766.88,635.83,131.05,0.0
machine operator,10.0,PA,MORTGAGE,50000.0,Verified,19.76,87000.0,Verified,11.57,0,,2008,2,10,9,48207,29334,0,1,,0,0,2,8,3.0,9,0.0,0,1,13400,7,7,2,0,100.0,0,1,debt_consolidation,joint,20000,36,10.41,649.21,B,B3,Mar-2018,Current,whole,Cash,18560.45,1970.77,1439.55,531.22,0.0
gse mechanic,5.0,CO,MORTGAGE,55000.0,Source Verified,3.21,,,,0,,2008,2,5,5,192930,6801,0,0,,0,0,0,4,8.0,5,0.0,0,3,20500,3,3,3,1,80.0,0,0,car,individual,9000,36,11.98,298.85,B,B5,Mar-2018,Current,whole,Cash,8139.2,1086.35,860.8,225.55,0.0
butcher assistant,6.0,MO,OWN,23000.0,Source Verified,23.12,,,,0,,2004,4,14,9,41949,25189,0,0,,0,0,1,9,2.0,9,0.0,0,5,21300,10,8,5,0,100.0,0,0,debt_consolidation,individual,4000,36,7.97,125.3,A,A5,Feb-2018,Current,fractional,DirectPay,3601.11,497.66,398.89,98.77,0.0
cardiovascular technician,10.0,AZ,OWN,54000.0,Not Verified,12.98,,,,0,,2011,0,8,5,36739,27830,0,1,,0,0,1,5,14.0,5,0.0,0,1,3500,4,4,3,0,100.0,0,1,debt_consolidation,individual,4800,36,10.91,156.95,B,B4,Jan-2018,Current,whole,Cash,4223.05,792.37,576.95,215.42,0.0
money ctr ,10.0,OR,MORTGAGE,65000.0,Source Verified,18.85,,,,0,67.0,1998,2,23,17,264145,24802,0,1,,0,104,1,7,2.0,17,0.0,0,3,31200,18,15,6,2,95.5,0,1,debt_consolidation,individual,12000,36,6.72,369.0,A,A3,Feb-2018,Current,whole,DirectPay,10782.62,1480.48,1217.38,263.1,0.0
assistant director,3.0,GA,MORTGAGE,40000.0,Source Verified,14.22,136000.0,Source Verified,21.55,0,74.0,2004,0,14,6,51099,27985,0,0,,0,0,1,3,,6,0.0,0,1,19800,8,5,2,0,92.9,0,0,debt_consolidation,joint,35000,60,9.44,734.04,B,B1,Jan-2018,Current,whole,Cash,32670.1,3651.84,2329.9,1321.94,0.0
certified pharmacy tech,10.0,TX,MORTGAGE,37840.0,Source Verified,10.59,,,,1,7.0,2003,2,27,9,137631,12207,0,0,46.0,0,0,2,8,9.0,9,0.0,0,1,2000,10,6,4,3,80.8,0,0,house,individual,5000,36,7.97,156.62,A,A5,Jan-2018,Current,whole,Cash,4374.69,780.89,625.31,155.58,0.0
technical writer iii,10.0,SC,MORTGAGE,85000.0,Not Verified,35.13,,,,0,,1997,0,50,30,391296,52133,0,0,,0,0,3,3,19.0,30,0.0,0,9,60800,40,26,18,3,100.0,0,0,debt_consolidation,individual,20000,36,6.08,609.17,A,A2,Feb-2018,Current,whole,Cash,17953.16,2429.92,2046.84,383.08,0.0
tire building ,7.0,OK,MORTGAGE,85000.0,Not Verified,16.21,,,,0,,2003,0,28,8,314013,20469,0,0,,0,0,2,0,,8,0.0,0,2,25200,15,5,3,4,100.0,0,0,major_purchase,individual,6000,36,5.32,180.69,A,A1,Feb-2018,Current,whole,Cash,5379.53,719.21,620.47,98.74,0.0
owner,5.0,CA,RENT,50400.0,Source Verified,6.33,,,,0,,2007,0,10,6,17200,10111,0,0,,0,0,3,0,,6,0.0,0,2,4500,6,3,2,0,100.0,0,0,debt_consolidation,individual,10500,36,6.72,322.87,A,A3,Feb-2018,Current,whole,Cash,9434.81,1287.56,1065.19,222.37,0.0
loader/unloader,1.0,GA,RENT,26304.0,Source Verified,17.7,,,,0,,2015,2,5,4,25802,20654,0,0,,0,0,2,3,5.0,4,0.0,0,1,1200,2,2,1,0,100.0,0,0,small_business,individual,7000,36,11.98,232.44,B,B5,Mar-2018,Current,whole,Cash,6507.45,692.66,492.55,200.11,0.0
electrician,1.0,OR,RENT,43000.0,Source Verified,12.5,,,,0,,2010,1,5,4,35922,23692,0,0,,0,0,1,1,9.0,4,0.0,0,1,5000,3,3,1,0,100.0,0,0,debt_consolidation,individual,5000,36,7.34,155.17,A,A4,Mar-2018,Current,whole,Cash,4750.06,306.26,249.94,56.32,0.0
staff rn,2.0,MD,RENT,82000.0,Source Verified,10.54,,,,0,63.0,2004,2,22,10,74245,37396,0,0,,0,0,2,3,8.0,10,0.0,0,5,50900,15,8,6,0,95.5,0,0,credit_card,individual,15000,36,6.07,456.81,A,A2,Mar-2018,Current,whole,Cash,13851.4,1365.37,1148.6,216.77,0.0
 coordinator ,1.0,CA,RENT,40000.0,Source Verified,14.46,,,,0,36.0,2006,5,11,7,28740,18679,0,0,,0,0,2,3,5.0,7,0.0,0,2,9100,8,5,4,0,90.9,0,0,debt_consolidation,individual,5400,36,10.42,175.31,B,B3,Jan-2018,Current,whole,Cash,4746.65,873.42,653.35,220.07,0.0
physicians secretary ,3.0,MN,RENT,39000.0,Not Verified,23.48,,,,0,73.0,1996,1,32,16,71729,43248,0,0,73.0,0,0,4,7,12.0,16,0.0,0,2,13300,22,12,8,0,89.7,0,0,credit_card,individual,6000,36,6.71,184.47,A,A3,Mar-2018,Current,whole,Cash,5697.32,366.7,302.68,64.02,0.0
lead teacher,0.0,VA,MORTGAGE,20000.0,Source Verified,9.42,,,,0,,2007,1,8,5,15600,5334,0,0,,0,0,0,3,11.0,5,0.0,0,3,13000,7,5,3,0,87.5,0,0,debt_consolidation,individual,4000,36,7.34,124.14,A,A4,Mar-2018,Current,whole,DirectPay,3800.04,246.65,199.96,46.69,0.0
sales,4.0,NY,RENT,44000.0,Source Verified,19.99,,,,0,,1993,0,15,8,56400,45189,0,0,,0,0,1,4,,8,0.0,0,2,47500,11,7,2,0,100.0,0,0,credit_card,individual,17500,60,11.99,389.19,B,B5,Jan-2018,Current,whole,DirectPay,16406.68,1969.27,1093.32,875.95,0.0
,,LA,RENT,13000.0,Verified,9.51,,,,0,,2014,0,7,6,15300,2699,0,0,,0,0,0,4,21.0,6,0.0,0,3,7600,6,6,5,0,100.0,0,0,debt_consolidation,individual,5000,36,6.72,153.75,A,A3,Jan-2018,Current,whole,Cash,4364.17,754.75,635.83,118.92,0.0
pharmacist ,10.0,IL,OWN,130000.0,Source Verified,13.4,,,,0,,2001,0,36,22,504014,68535,0,0,,0,0,0,0,,22,0.0,0,12,121000,31,19,15,3,100.0,0,0,debt_consolidation,individual,40000,36,6.07,1218.15,A,A2,Mar-2018,Current,whole,Cash,36937.11,3640.96,3062.89,578.07,0.0
unit manager,10.0,IL,MORTGAGE,68000.0,Verified,24.6,,,,0,,2007,10,22,10,307329,79188,0,0,,0,0,3,6,4.0,10,0.0,0,5,53200,10,6,6,2,100.0,0,0,debt_consolidation,individual,8000,36,7.96,250.55,A,A5,Mar-2018,Fully Paid,whole,Cash,0.0,8077.0406829998,8000.0,77.04,0.0
programs servicing specialist ii,10.0,AZ,RENT,54250.0,Verified,14.02,,,,0,47.0,1994,1,11,6,40352,27220,0,0,47.0,0,4755,1,5,2.0,6,0.0,0,4,22500,5,4,4,0,100.0,0,0,debt_consolidation,individual,12000,36,11.99,398.52,B,B5,Jan-2018,Current,whole,Cash,10868.71,1586.09,1131.29,454.8,0.0
operator,9.0,NJ,OWN,86000.0,Not Verified,14.76,,,,0,,1985,1,32,10,318092,24093,0,1,,0,0,3,3,4.0,10,0.0,0,3,29000,23,6,4,2,100.0,0,1,debt_consolidation,individual,3600,36,6.72,110.7,A,A3,Jan-2018,Current,whole,Cash,3142.19,556.98,457.81,99.17,0.0
rn,1.0,NJ,MORTGAGE,85000.0,Not Verified,26.58,,,,0,60.0,2001,1,22,9,179762,43504,0,0,60.0,0,0,3,6,10.0,9,0.0,0,2,43000,12,5,2,4,86.4,0,0,debt_consolidation,individual,17000,36,6.07,517.72,A,A2,Mar-2018,Current,fractional,Cash,15698.25,1547.43,1301.75,245.68,0.0
fraud investigator ,10.0,VA,OWN,52000.0,Source Verified,17.93,,,,0,,2004,1,42,19,260096,38565,0,0,,0,0,2,7,7.0,19,0.0,0,5,62800,30,16,6,1,100.0,0,0,debt_consolidation,individual,4300,36,9.93,138.61,B,B2,Jan-2018,Current,whole,Cash,3776.27,687.12,523.73,163.39,0.0
event manager,10.0,WA,MORTGAGE,80000.0,Not Verified,11.97,,,,0,,2006,2,16,8,309910,14138,0,0,,0,0,2,2,2.0,8,0.0,0,3,5600,6,5,4,3,100.0,0,0,debt_consolidation,individual,14000,36,10.42,454.51,B,B3,Feb-2018,Current,fractional,Cash,12306.12,2207.72,1693.88,513.84,0.0
general manager asset services,0.0,TX,MORTGAGE,200000.0,Source Verified,9.03,267000.0,,10.15,0,32.0,1992,0,17,7,414105,48277,0,0,,0,0,1,1,16.0,7,0.0,0,2,25200,8,5,2,4,76.5,0,0,debt_consolidation,joint,35000,36,10.41,1136.11,B,B3,Mar-2018,Current,whole,DirectPay,32483.0,3367.85,2517.0,850.85,0.0
library tech,10.0,LA,MORTGAGE,39000.0,Source Verified,9.54,,,,0,,2006,1,23,9,143272,49647,0,0,,0,1517,4,5,7.0,9,0.0,0,1,15800,6,4,2,2,100.0,0,0,credit_card,individual,3000,36,7.97,93.97,A,A5,Jan-2018,Current,whole,Cash,2624.82,468.52,375.18,93.34,0.0
engineer,4.0,VA,OWN,99000.0,Not Verified,13.07,,,,0,59.0,2005,0,11,5,61606,40256,0,0,59.0,0,0,1,1,,5,0.0,0,3,30400,7,4,3,1,90.9,0,0,other,individual,19000,36,7.96,595.05,A,A5,Mar-2018,Current,whole,Cash,13331.95,5983.35,5668.05,315.3,0.0
,,NC,RENT,18960.0,Not Verified,15.19,,,,0,,2001,2,12,4,21700,6825,0,0,,0,0,1,1,10.0,4,0.0,0,2,13200,10,3,3,0,100.0,0,0,credit_card,individual,3500,36,6.08,106.61,A,A2,Feb-2018,Current,whole,Cash,3141.78,424.08,358.22,65.86,0.0
manager,6.0,OH,MORTGAGE,145262.0,Source Verified,14.99,,,,0,,1998,0,32,16,450152,110685,0,0,,0,0,2,4,18.0,16,0.0,0,6,124400,24,13,8,2,100.0,0,0,credit_card,individual,17000,36,5.32,511.96,A,A1,Jan-2018,Current,whole,Cash,14797.59,2554.78,2202.41,352.37,0.0
educator,10.0,CA,MORTGAGE,98000.0,Not Verified,13.01,,,,0,,2001,0,13,7,55500,21282,0,0,,0,0,2,1,,7,0.0,0,2,22000,7,5,3,0,100.0,0,0,other,individual,4800,36,6.72,147.6,A,A3,Feb-2018,Current,whole,Cash,4313.05,588.61,486.95,101.66,0.0
director of account management ,10.0,FL,MORTGAGE,90000.0,Source Verified,12.14,,,,0,53.0,2004,1,19,10,222257,30038,0,0,,0,176,1,6,4.0,10,0.0,0,4,18100,10,8,8,3,94.7,0,0,debt_consolidation,individual,12000,36,9.43,384.01,B,B1,Mar-2018,Current,whole,DirectPay,11124.02,1139.46,875.98,263.48,0.0
president,10.0,CA,RENT,100000.0,Not Verified,15.1,,,,0,,1978,0,27,12,90512,23555,0,0,,0,0,2,5,,12,0.0,0,7,61400,21,9,9,0,100.0,0,0,major_purchase,individual,12000,36,5.32,361.38,A,A1,Feb-2018,Current,whole,Cash,7180.69,4999.97,4819.31,180.66,0.0
executive assistant,1.0,CA,RENT,72000.0,Not Verified,9.83,,,,0,,1980,0,10,7,37941,21865,0,1,,0,0,5,1,,7,0.0,0,1,7100,5,2,2,0,100.0,0,1,medical,individual,1000,36,9.44,32.01,B,B1,Feb-2018,Current,whole,Cash,902.28,127.52,97.72,29.8,0.0
registered nurse,7.0,NY,MORTGAGE,72000.0,Not Verified,14.48,,,,0,,2003,1,27,17,171319,28305,0,0,,0,0,3,9,12.0,17,0.0,0,2,7900,17,12,5,1,100.0,0,0,home_improvement,individual,16000,60,10.9,347.09,B,B4,Mar-2018,Current,whole,Cash,15389.21,1050.96,610.79,440.17,0.0
chief operating officer,5.0,CA,RENT,180000.0,Source Verified,2.91,,,,0,,1992,4,14,4,104664,104874,0,1,,0,0,1,3,7.0,4,0.0,0,1,20000,4,3,3,1,100.0,0,1,house,individual,24000,36,9.93,773.63,B,B2,Feb-2018,Current,whole,Cash,21671.17,3081.28,2328.83,752.45,0.0
senior server engineer,4.0,TX,MORTGAGE,65000.0,Source Verified,17.99,,,,0,,2007,4,31,14,292806,48538,0,0,,0,0,1,6,11.0,14,0.0,0,7,59600,26,12,9,2,100.0,0,0,credit_card,individual,28000,60,6.08,542.37,A,A2,Jan-2018,Current,whole,DirectPay,25977.09,2692.93,2022.91,670.02,0.0
radiology,10.0,MI,MORTGAGE,36000.0,Source Verified,24.37,73000.0,Not Verified,32.38,0,74.0,1992,1,27,8,203884,25327,0,0,,0,0,2,2,12.0,8,0.0,0,4,18000,21,5,5,1,96.3,0,0,debt_consolidation,joint,16000,36,6.08,487.34,A,A2,Jan-2018,Current,whole,Cash,13947.94,2425.89,2052.06,373.83,0.0
area distributor manager,3.0,CA,MORTGAGE,150000.0,Verified,18.36,,,,0,,1997,0,10,4,134786,72390,0,0,,0,0,1,1,18.0,4,0.0,0,2,63000,7,2,2,0,100.0,0,0,debt_consolidation,individual,35000,36,6.07,1065.88,A,A2,Mar-2018,Current,whole,Cash,32319.97,3185.84,2680.03,505.81,0.0
