emp_title,emp_length,state,homeownership,annual_income,verified_income,debt_to_income,annual_income_joint,verification_income_joint,debt_to_income_joint,delinq_2y,months_since_last_delinq,earliest_credit_line,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,num_collections_last_12m,num_historical_failed_to_pay,months_since_90d_late,current_accounts_delinq,total_collection_amount_ever,current_installment_accounts,accounts_opened_24m,months_since_last_credit_inquiry,num_satisfactory_accounts,num_accounts_120d_past_due,num_accounts_30d_past_due,num_active_debit_accounts,total_debit_limit,num_total_cc_accounts,num_open_cc_accounts,num_cc_carrying_balance,num_mort_accounts,account_never_delinq_percent,tax_liens,public_record_bankrupt,loan_purpose,application_type,loan_amount,term,interest_rate,installment,grade,sub_grade,issue_month,loan_status,initial_listing_status,disbursement_method,balance,paid_total,paid_principal,paid_interest,paid_late_fees
school secretary,6.0,CA,MORTGAGE,40000.0,Source Verified,3.18,,,,1,22.0,2012,1,7,5,137309,4169,0,0,,0,0,0,2,0.0,5,0.0,0,3,6700,5,4,3,1,85.7,0,0,credit_card,individual,6000,36,11.99,199.26,B,B5,Jan-2018,Current,whole,Cash,5289.38,978.32,710.62,267.7,0.0
tow boat pilot,10.0,NC,RENT,130000.0,Verified,7.72,,,,1,19.0,2005,13,21,9,44991,30255,0,0,19.0,0,0,1,7,0.0,9,0.0,0,3,2600,10,8,5,1,85.7,0,0,moving,individual,20000,60,23.87,573.86,E,E2,Feb-2018,Current,whole,Cash,19274.6,2242.4,725.4,1517.0,0.0
hydrogeologist,9.0,MI,RENT,68000.0,Verified,26.1,,,,1,10.0,2001,0,32,8,152375,122638,0,0,,0,0,3,0,,8,0.0,0,4,42500,12,5,4,0,92.6,0,0,debt_consolidation,individual,35000,60,19.03,908.5,D,D3,Jan-2018,Current,whole,Cash,33175.76,4524.0,1824.24,2699.76,0.0
clinical advisor behavirol health,6.0,FL,RENT,86845.0,Source Verified,17.37,,,,0,63.0,2008,2,24,16,81769,43629,0,0,63.0,0,0,1,9,7.0,16,0.0,0,7,34900,17,15,14,0,95.8,0,0,other,individual,20000,60,21.45,546.15,D,D5,Jan-2018,Current,whole,Cash,9324.93,12060.77,10675.07,1385.7,0.0
district manager,1.0,WA,OWN,109500.0,Source Verified,20.1,,,,1,18.0,2002,8,25,17,464098,158933,0,1,63.0,0,981,11,7,1.0,17,0.0,0,2,5800,7,5,2,2,80.0,0,1,house,individual,35000,36,11.98,1162.17,B,B5,Feb-2018,Current,whole,Cash,32537.32,3463.22,2462.68,1000.54,0.0
perishables assistant,5.0,OH,RENT,17000.0,Source Verified,62.57,69000.0,Source Verified,18.09,0,24.0,2006,0,14,10,45917,17475,0,0,,0,0,2,3,,10,0.0,0,4,17300,12,8,6,0,85.7,0,0,other,joint,3000,36,10.9,98.08,B,B4,Mar-2018,Current,whole,Cash,2785.57,292.42,214.43,77.99,0.0
data entry,10.0,MN,MORTGAGE,33024.0,Not Verified,28.82,78368.0,Not Verified,13.03,2,18.0,1996,2,22,6,252212,24861,0,0,,0,0,1,2,3.0,6,0.0,0,1,10200,14,2,2,2,81.8,0,0,other,joint,1800,36,7.34,55.86,A,A4,Mar-2018,Current,whole,Cash,1664.63,166.11,135.37,30.74,0.0
team leader,4.0,NJ,RENT,30000.0,Source Verified,34.72,,,,0,,2012,2,13,6,45429,15189,0,0,,0,0,2,3,2.0,6,0.0,0,2,16000,7,4,2,0,100.0,0,0,other,individual,3000,36,10.9,98.08,B,B4,Mar-2018,Current,whole,Cash,2857.7,192.53,142.3,50.23,0.0
director,10.0,CA,OWN,42000.0,Verified,8.94,127000.0,Verified,8.75,2,10.0,2000,1,13,8,429300,9266,0,0,,0,0,0,5,10.0,8,0.0,0,4,11200,9,7,5,2,76.9,0,0,credit_card,joint,36000,60,17.47,903.82,D,D1,Mar-2018,Fully Paid,whole,Cash,0.0,36938.5889883772,36000.0,938.59,0.0
owner,10.0,CA,RENT,68000.0,Source Verified,18.99,,,,0,,1971,1,14,5,44050,34712,0,1,,0,0,2,3,3.0,5,0.0,0,2,16000,10,3,2,1,100.0,0,1,small_business,individual,7200,36,16.01,253.17,C,C5,Mar-2018,Current,whole,Cash,6722.35,753.11,477.65,275.46,0.0
business development ,4.0,CO,MORTGAGE,60000.0,Source Verified,7.46,,,,0,,2012,0,12,7,28125,18720,0,1,,0,0,1,5,,7,0.0,0,3,9600,8,6,3,0,100.0,0,1,small_business,individual,12000,60,26.3,361.42,E,E5,Jan-2018,Current,whole,Cash,11485.85,1772.03,514.15,1257.88,0.0
registered nurse,4.0,CO,MORTGAGE,55000.0,Verified,43.95,122500.0,Verified,21.13,0,,2003,3,43,25,494797,123409,0,0,,0,0,11,6,2.0,25,0.0,0,6,42300,18,13,9,3,100.0,0,0,credit_card,joint,30000,60,10.42,643.63,B,B3,Jan-2018,Current,whole,Cash,28050.78,3073.88,1949.22,1124.66,0.0
technician ,3.0,CT,RENT,62000.0,Not Verified,6.02,,,,1,10.0,2008,0,5,4,29100,12253,0,0,,0,0,0,3,21.0,4,0.0,0,3,29100,5,4,3,0,80.0,0,0,credit_card,individual,7000,36,11.98,232.44,B,B5,Mar-2018,Current,whole,Cash,6507.45,692.66,492.55,200.11,0.0
custodian,0.0,IN,RENT,30000.0,Source Verified,28.68,,,,0,,2014,9,6,5,45715,40961,0,0,,0,0,1,5,1.0,5,0.0,0,2,5000,4,4,4,0,100.0,0,0,credit_card,individual,5000,36,21.45,189.54,D,D5,Feb-2018,Current,fractional,Cash,4588.47,746.24,411.53,334.71,0.0
bartender,6.0,NV,RENT,60000.0,Source Verified,24.58,,,,2,18.0,2001,5,26,19,68420,31706,0,0,23.0,0,0,2,10,4.0,19,0.0,0,9,30400,24,17,13,0,92.3,0,0,debt_consolidation,individual,16000,36,13.58,543.59,C,C2,Mar-2018,Current,fractional,Cash,14900.08,1618.7,1099.92,518.78,0.0
machine operator,10.0,AL,OWN,21600.0,Verified,34.28,,,,0,,2012,1,7,4,39238,17236,0,0,,0,0,2,0,8.0,4,0.0,0,1,2000,3,2,1,0,100.0,0,0,debt_consolidation,individual,10500,60,25.82,313.26,E,E4,Jan-2018,Late (31-120 days),whole,Cash,10323.45,596.4,176.55,419.85,0.0
software engineer,6.0,FL,MORTGAGE,120000.0,Source Verified,4.32,,,,0,28.0,1978,5,6,5,301100,20814,0,0,,0,0,0,3,0.0,5,0.0,0,3,19300,4,4,4,2,83.3,0,0,major_purchase,individual,40000,60,15.04,952.44,C,C4,Feb-2018,Fully Paid,whole,Cash,0.0,40167.1133333332,40000.0,167.11,0.0
inventory control mgr,10.0,SC,MORTGAGE,80000.0,Not Verified,25.02,,,,0,,1997,2,14,5,83866,70132,0,0,,0,0,2,3,3.0,5,0.0,0,2,15600,4,3,2,1,100.0,0,0,debt_consolidation,individual,25000,60,16.02,608.22,C,C5,Feb-2018,Current,whole,Cash,23879.94,2388.38,1120.06,1268.32,0.0
ld teacher computer science,6.0,FL,RENT,56000.0,Source Verified,24.86,,,,1,18.0,2000,1,46,24,166687,194651,0,0,112.0,0,0,15,1,11.0,24,0.0,0,6,15400,15,9,9,0,95.6,0,0,debt_consolidation,individual,24000,60,22.9,675.2,E,E1,Mar-2018,Current,whole,DirectPay,23335.89,1995.07,664.11,1330.96,0.0
supervisor,10.0,NM,MORTGAGE,72000.0,Source Verified,4.53,,,,1,10.0,2000,0,11,3,332152,8175,0,0,67.0,0,0,0,1,19.0,3,0.0,0,1,8500,4,1,1,3,72.7,0,0,debt_consolidation,individual,15000,60,15.04,357.17,C,C4,Mar-2018,Current,whole,Cash,14486.1,1058.98,513.9,545.08,0.0
wic manager,10.0,MI,MORTGAGE,58000.0,Source Verified,29.26,,,,4,6.0,1996,2,27,7,165773,20686,0,0,16.0,0,94,3,2,4.0,7,0.0,0,1,3000,13,3,3,2,63.0,0,0,other,individual,1000,36,9.93,32.24,B,B2,Jan-2018,Current,fractional,Cash,878.18,160.65,121.82,38.83,0.0
sales,10.0,NV,MORTGAGE,123973.0,Not Verified,6.16,,,,0,,2007,1,12,11,338301,22895,0,0,,0,0,1,6,12.0,11,0.0,0,7,30000,9,9,7,1,100.0,0,0,debt_consolidation,individual,27000,60,15.05,643.04,C,C4,Jan-2018,Current,whole,Cash,25439.26,3192.62,1560.74,1631.88,0.0
mechanical maintenance ,7.0,TN,MORTGAGE,100000.0,Source Verified,9.52,,,,1,11.0,2005,1,34,7,254999,18959,0,0,,0,220,3,6,8.0,7,0.0,0,3,4700,3,3,3,4,91.2,0,0,debt_consolidation,individual,16000,60,16.02,389.26,C,C5,Jan-2018,Current,whole,Cash,15097.93,1910.7,902.07,1008.63,0.0
assistant vice president,10.0,NY,RENT,112000.0,Source Verified,34.31,,,,0,,1999,0,21,13,167640,117472,0,0,,0,0,7,2,,13,0.0,0,5,43800,13,6,5,0,100.0,0,0,small_business,individual,25000,36,26.77,1017.55,E,E5,Mar-2018,Current,fractional,Cash,23589.47,2978.29,1410.53,1567.76,0.0
bartender,0.0,TX,MORTGAGE,60000.0,Source Verified,13.38,,,,1,3.0,2004,1,27,12,154182,10885,0,0,3.0,0,0,0,1,7.0,12,0.0,0,4,10300,20,11,6,3,85.2,0,0,debt_consolidation,individual,10000,36,12.62,335.12,C,C1,Jan-2018,Current,whole,Cash,8825.79,1668.59,1174.21,494.38,0.0
scheduling manager,10.0,MN,OWN,34000.0,Source Verified,70.21,184000.0,Source Verified,22.96,0,,1994,1,11,6,82700,77049,0,0,,0,0,2,2,12.0,6,0.0,0,3,57700,5,4,4,0,100.0,0,0,debt_consolidation,joint,40000,60,11.99,889.58,B,B5,Jan-2018,Current,whole,Cash,37500.99,4421.26,2499.01,1922.25,0.0
plant manager,7.0,GA,MORTGAGE,65000.0,Verified,31.06,,,,0,,2006,1,11,7,266188,39688,0,1,,0,64,3,4,8.0,7,0.0,0,1,3300,5,3,3,1,100.0,1,0,debt_consolidation,individual,8400,36,16.02,295.41,C,C5,Feb-2018,Current,fractional,Cash,7652.11,1166.69,747.89,418.8,0.0
teacher,4.0,FL,OWN,75000.0,Source Verified,20.9,,,,0,,2012,4,26,19,126100,60258,0,0,,0,0,0,6,2.0,19,0.0,0,10,109300,24,19,11,0,100.0,0,0,credit_card,individual,25000,60,15.05,595.41,C,C4,Jan-2018,Current,whole,DirectPay,23554.86,2935.24,1445.14,1490.1,0.0
vice president,7.0,TN,MORTGAGE,67000.0,Not Verified,37.5,,,,0,,2001,0,19,8,325986,130650,0,0,,0,0,2,1,,8,0.0,0,2,20000,9,4,3,1,100.0,0,0,debt_consolidation,individual,7500,36,16.02,263.76,C,C5,Feb-2018,Current,fractional,Cash,6832.24,1048.36,667.76,380.6,0.0
sr business specialist,10.0,NY,MORTGAGE,100000.0,Source Verified,21.8,,,,0,42.0,1977,2,26,18,312589,49224,0,0,,0,0,1,2,4.0,18,0.0,0,8,35600,22,16,12,2,92.3,0,0,debt_consolidation,individual,21000,60,15.04,500.03,C,C4,Mar-2018,Current,whole,Cash,20280.57,1465.0,719.43,745.57,0.0
loan originator assistant,4.0,TX,MORTGAGE,70000.0,Verified,31.92,,,,0,,2009,0,21,18,330527,76873,0,0,,0,0,3,3,21.0,16,,0,6,25600,13,11,11,1,100.0,0,0,debt_consolidation,individual,17650,60,20.0,467.62,D,D4,Feb-2018,Current,fractional,Cash,16938.64,1939.13,711.36,1227.77,0.0
store management ,10.0,TX,MORTGAGE,61880.0,Source Verified,17.24,,,,3,15.0,2004,3,33,12,142335,30270,0,0,50.0,0,0,2,4,6.0,12,0.0,0,2,6900,25,9,3,4,78.1,0,0,debt_consolidation,individual,10000,36,9.92,322.3,B,B2,Mar-2018,Current,whole,Cash,9518.75,633.58,481.25,152.33,0.0
billing clerk,3.0,FL,MORTGAGE,33134.4,Verified,31.4,89017.48,Verified,13.88,0,,1997,2,16,10,167816,48950,0,1,,0,0,1,7,6.0,10,0.0,0,2,14400,12,8,6,1,100.0,0,1,debt_consolidation,joint,25000,60,14.07,582.62,C,C3,Mar-2018,Current,whole,Cash,24121.29,1728.32,878.71,849.61,0.0
teacher,5.0,PA,OWN,60000.0,Verified,36.28,112000.0,Verified,26.23,0,74.0,2006,4,25,15,171455,133484,0,0,74.0,0,2335,8,5,0.0,15,0.0,0,3,17600,8,7,5,0,88.0,0,0,debt_consolidation,joint,40000,36,9.93,1289.38,B,B2,Jan-2018,Current,whole,Cash,36118.63,5135.45,3881.37,1254.08,0.0
nurse case manager ,2.0,OH,RENT,65488.0,Verified,18.46,,,,0,62.0,2007,2,57,13,109317,95619,0,0,62.0,0,1009,8,8,5.0,13,0.0,0,2,8300,13,5,2,0,92.7,0,0,debt_consolidation,individual,15000,36,15.04,520.28,C,C4,Mar-2018,Current,whole,Cash,13990.61,1535.77,1009.39,526.38,0.0
postdoctoral fellow,2.0,MA,RENT,47500.0,Source Verified,32.88,,,,0,,1998,2,57,27,200526,123747,0,0,,0,0,5,9,8.0,27,0.0,0,4,74900,41,22,4,0,100.0,0,0,debt_consolidation,individual,9800,36,9.44,313.65,B,B1,Feb-2018,Fully Paid,whole,Cash,0.0,9976.2789598824,9800.0,176.28,0.0
lp nurse,6.0,VA,MORTGAGE,42000.0,Verified,33.99,,,,0,,1999,0,22,9,143341,41618,0,0,,0,0,2,4,,9,0.0,0,4,16400,10,6,5,2,100.0,0,0,debt_consolidation,individual,5000,36,13.59,169.9,C,C2,Jan-2018,Current,fractional,Cash,4420.74,840.06,579.26,260.8,0.0
human resources business partner,10.0,TX,MORTGAGE,82000.0,Verified,12.03,,,,1,10.0,1980,1,51,29,291570,126367,0,0,10.0,0,0,21,2,7.0,29,0.0,0,2,5400,8,7,7,2,98.0,0,0,debt_consolidation,individual,11200,60,16.01,272.43,C,C5,Mar-2018,Current,whole,Cash,10826.04,807.33,373.96,433.37,0.0
environmental service,2.0,OH,RENT,80000.0,Not Verified,15.84,125000.0,Not Verified,11.0,0,31.0,2007,4,32,22,99433,63686,0,1,76.0,0,0,2,5,6.0,22,0.0,0,3,16400,25,20,15,0,90.3,0,1,credit_card,joint,10000,36,17.09,356.98,D,D1,Feb-2018,In Grace Period,whole,Cash,9347.82,1061.45,652.18,409.27,0.0
chief marketing officer,0.0,MN,RENT,185000.0,Not Verified,7.68,,,,0,,1994,3,14,8,63049,43568,0,1,,0,0,2,7,1.0,8,0.0,0,3,8800,9,6,5,1,92.9,0,1,major_purchase,individual,20000,36,16.02,703.34,C,C5,Jan-2018,Current,fractional,Cash,17759.27,3552.3,2240.73,1311.57,0.0
senior linguist,2.0,VA,RENT,115000.0,Source Verified,10.49,,,,0,30.0,2005,4,48,16,595953,32747,0,0,30.0,0,0,2,11,0.0,16,0.0,0,7,13900,33,12,11,3,73.0,0,0,credit_card,individual,16000,60,15.05,381.06,C,C4,Feb-2018,Current,whole,Cash,15214.63,1580.93,785.37,795.56,0.0
senior field engineer,6.0,AL,MORTGAGE,47000.0,Source Verified,16.11,,,,0,,2000,2,18,12,49774,34312,0,0,,0,0,7,4,2.0,12,0.0,0,1,1900,10,5,4,0,77.8,0,0,home_improvement,individual,20000,60,17.09,498.02,D,D1,Feb-2018,Current,whole,Cash,19128.86,1973.09,871.14,1101.95,0.0
cash poster,3.0,FL,MORTGAGE,38000.0,Verified,16.27,,,,0,,2012,3,18,14,201244,15908,0,1,,0,0,0,12,1.0,14,0.0,0,3,30500,13,12,6,3,100.0,0,1,debt_consolidation,individual,17600,60,15.04,419.08,C,C4,Mar-2018,Current,whole,Cash,16997.02,1169.01,602.98,566.03,0.0
sr software engineer,5.0,CO,MORTGAGE,170000.0,Source Verified,8.08,,,,0,,2002,2,20,7,424177,38003,0,0,,0,0,0,5,2.0,7,0.0,0,1,8000,11,4,4,4,100.0,0,0,credit_card,individual,38400,60,15.05,914.55,C,C4,Feb-2018,Current,whole,Cash,36635.35,3626.09,1764.65,1861.44,0.0
inspector ,0.0,VA,RENT,50000.0,Verified,49.26,100000.0,Verified,27.29,0,72.0,2002,4,31,24,108799,81274,0,0,72.0,0,102,5,21,5.0,24,0.0,0,5,11800,22,19,12,0,93.5,0,0,debt_consolidation,joint,20000,60,30.75,656.32,F,F5,Mar-2018,Current,whole,Cash,19557.39,1934.79,442.61,1492.18,0.0
driver,10.0,IL,RENT,33000.0,Not Verified,19.24,,,,0,,1990,0,9,4,21800,20645,0,0,,0,0,1,1,,4,0.0,0,3,20300,7,3,3,0,100.0,0,0,other,individual,2500,36,19.03,91.68,D,D3,Feb-2018,Current,whole,Cash,2286.86,364.08,213.14,150.94,0.0
senior government underwriter,2.0,NC,MORTGAGE,142000.0,Source Verified,13.35,,,,1,19.0,1998,4,22,13,298041,68846,0,0,67.0,0,0,2,8,0.0,13,0.0,0,4,21500,10,9,7,3,90.9,0,0,other,individual,35000,36,10.9,1144.2,B,B4,Feb-2018,Current,whole,Cash,31649.56,4534.41,3350.44,1183.97,0.0
,,FL,RENT,60000.0,Not Verified,15.26,,,,1,23.0,2001,3,31,11,43052,13794,0,1,,0,2833,2,1,0.0,11,0.0,0,3,17500,16,9,5,0,96.8,0,1,house,individual,8000,36,13.59,271.84,C,C2,Jan-2018,Current,whole,Cash,7073.04,1353.16,926.96,426.2,0.0
sales,3.0,VA,RENT,82000.0,Not Verified,31.67,174000.0,Not Verified,17.63,0,,2002,1,18,12,384198,60208,0,1,,0,0,4,3,6.0,12,0.0,0,4,37700,9,7,6,1,100.0,0,1,credit_card,joint,36000,60,9.44,755.02,B,B1,Feb-2018,Current,whole,Cash,34090.33,2972.88,1909.67,1063.21,0.0
uber driver,1.0,RI,RENT,48000.0,Not Verified,24.13,92800.0,Not Verified,16.87,0,,2014,1,10,8,40521,28134,0,0,,0,0,2,3,0.0,8,0.0,0,4,4600,7,6,5,0,100.0,0,0,vacation,joint,5400,36,18.45,196.45,D,D2,Mar-2018,Current,whole,Cash,5054.47,578.28,345.53,232.75,0.0
hr recruitment,5.0,CA,RENT,79040.0,Not Verified,31.64,,,,0,,2005,0,19,18,133455,93227,0,0,,0,0,11,0,,18,0.0,0,3,27000,7,7,6,0,100.0,0,0,credit_card,individual,24000,36,7.96,751.63,A,A5,Mar-2018,Current,whole,Cash,22811.21,1492.65,1188.79,303.86,0.0
treasurer,10.0,TX,OWN,46000.0,Verified,24.65,,,,0,,1998,0,31,13,65600,33457,0,0,,0,0,0,2,,13,0.0,0,5,53900,26,13,7,0,100.0,0,0,debt_consolidation,individual,25000,60,17.47,627.65,D,D1,Mar-2018,Current,fractional,Cash,24197.35,1858.69,802.65,1056.04,0.0
maintenance supervisor,10.0,MD,MORTGAGE,57000.0,Verified,23.79,,,,0,,2014,8,14,11,81092,59443,0,0,,0,93,2,11,4.0,11,0.0,0,5,17600,9,9,7,0,100.0,0,0,debt_consolidation,individual,10000,60,19.03,259.58,D,D3,Jan-2018,Current,whole,Cash,9478.74,1271.47,521.26,750.21,0.0
legal secretary,3.0,NY,RENT,74000.0,Verified,17.43,,,,0,36.0,2002,1,35,21,148383,110615,0,0,,0,0,9,12,10.0,21,0.0,0,2,31900,19,12,3,0,74.3,0,0,debt_consolidation,individual,32400,60,19.42,847.98,D,D3,Mar-2018,Current,whole,Cash,31413.28,2474.03,986.72,1487.31,0.0
asst bartender / food runner,3.0,NV,RENT,19000.0,Verified,3.47,,,,0,,1987,2,5,5,12000,854,0,0,,0,0,0,2,5.0,5,0.0,0,2,10000,5,5,2,0,100.0,0,0,car,individual,12000,60,26.3,361.42,E,E5,Feb-2018,Current,fractional,Cash,11593.19,1410.61,406.81,1003.8,0.0
locomotive engineer ,5.0,KY,MORTGAGE,60000.0,Source Verified,7.44,,,,1,20.0,2004,1,15,5,124114,5878,0,0,40.0,0,0,1,0,8.0,5,0.0,0,1,2200,8,3,2,3,80.0,0,0,other,individual,3000,36,9.93,96.71,B,B2,Jan-2018,Current,whole,Cash,2634.58,481.89,365.42,116.47,0.0
,,FL,MORTGAGE,37000.0,Source Verified,21.23,,,,1,23.0,1984,2,19,8,88000,12782,0,0,23.0,0,1430,1,0,7.0,8,0.0,0,4,10400,14,6,5,2,68.4,0,0,debt_consolidation,individual,10000,36,11.99,332.1,B,B5,Feb-2018,Current,whole,Cash,9057.25,1321.74,942.75,378.99,0.0
"sr director, procurement/attorney",6.0,RI,MORTGAGE,301000.0,Verified,11.63,,,,0,,2004,7,28,24,821171,248537,0,0,,0,2360,9,14,1.0,24,0.0,0,11,92800,13,13,12,1,100.0,0,0,home_improvement,individual,22425,60,21.45,612.37,D,D5,Feb-2018,Current,whole,Cash,21555.94,2436.12,869.06,1567.06,0.0
captain-fire department ,10.0,WA,RENT,180000.0,Source Verified,5.6,,,,1,16.0,1988,0,7,5,48731,23871,0,1,,0,0,1,2,15.0,5,0.0,0,1,1300,5,4,3,0,71.4,0,1,debt_consolidation,individual,36000,36,9.93,1160.44,B,B2,Feb-2018,Current,fractional,Cash,32506.78,4681.48,3493.22,1188.26,0.0
rv tech,2.0,TX,OWN,80000.0,Not Verified,6.3,,,,0,,2009,2,5,5,14200,10234,0,0,,0,0,1,2,8.0,5,0.0,0,3,7300,4,4,4,0,100.0,0,0,debt_consolidation,individual,10000,36,15.05,346.9,C,C4,Jan-2018,In Grace Period,whole,Cash,9097.26,1379.24,902.74,476.5,0.0
principal,1.0,TX,MORTGAGE,65000.0,Source Verified,17.4,,,,1,19.0,2000,3,29,15,364724,56174,0,0,,0,0,9,4,2.0,15,0.0,0,3,15900,10,4,3,2,93.1,0,0,debt_consolidation,individual,10200,36,6.72,313.65,A,A3,Jan-2018,Current,whole,Cash,8902.9,1560.63,1297.1,263.53,0.0
operations manager,6.0,WI,OWN,35000.0,Not Verified,11.63,,,,1,19.0,2007,0,8,6,30189,12339,0,0,19.0,0,0,0,0,,6,0.0,0,2,29000,6,4,2,0,85.7,0,0,credit_card,individual,15000,36,7.96,469.77,A,A5,Mar-2018,Current,fractional,Cash,13881.81,1405.99,1118.19,287.8,0.0
senior computer operator,10.0,NV,RENT,82000.0,Verified,31.93,,,,0,50.0,2002,0,53,12,182187,172428,0,0,50.0,0,0,5,5,17.0,12,0.0,0,4,25500,7,7,6,0,88.7,0,0,credit_card,individual,25000,36,24.85,992.02,E,E3,Jan-2018,Current,fractional,Cash,22528.16,4891.07,2471.84,2419.23,0.0
principal ,10.0,NV,OWN,72000.0,Source Verified,21.28,,,,0,,2008,0,18,10,76830,49871,0,3,,0,207,3,5,19.0,10,0.0,0,5,34000,7,7,7,0,100.0,3,0,credit_card,individual,25000,60,21.45,682.68,D,D5,Jan-2018,Current,whole,Cash,23778.06,3383.61,1221.94,2161.67,0.0
,,KS,RENT,25000.0,Not Verified,49.69,145000.0,Not Verified,11.44,0,26.0,2006,1,27,16,38411,22854,0,0,57.0,0,0,3,9,5.0,16,0.0,0,7,15500,19,13,9,0,74.1,0,0,debt_consolidation,joint,28000,60,16.02,681.21,C,C5,Feb-2018,Current,whole,Cash,26745.52,2675.0,1254.48,1420.52,0.0
night merch,10.0,WA,MORTGAGE,55000.0,Source Verified,54.81,127000.0,Source Verified,25.12,0,,1998,1,24,12,347850,95669,0,0,,0,0,4,2,10.0,12,0.0,0,6,45100,13,7,7,2,100.0,0,0,debt_consolidation,joint,35000,60,15.05,833.57,C,C4,Feb-2018,Current,whole,Cash,33391.61,3305.02,1608.39,1696.63,0.0
equipment mechanic,1.0,OH,MORTGAGE,95000.0,Not Verified,33.07,,,,0,41.0,1994,7,32,14,240269,108349,0,0,49.0,0,0,7,9,0.0,14,0.0,0,2,5200,9,6,6,1,90.6,0,0,debt_consolidation,individual,10000,36,16.01,351.62,C,C5,Feb-2018,Current,whole,Cash,9109.56,1397.59,890.44,507.15,0.0
office manager,4.0,GA,OWN,45000.0,Source Verified,18.69,,,,0,,2003,4,23,15,88344,106270,0,1,,0,471,11,5,4.0,15,0.0,0,3,5600,7,4,3,0,100.0,0,1,debt_consolidation,individual,10000,36,17.47,358.88,D,D1,Mar-2018,Current,fractional,Cash,9350.75,1066.93,649.25,417.68,0.0
sonographer,2.0,MI,RENT,30000.0,Verified,49.44,85000.0,Verified,17.8,0,,2007,1,22,14,90654,41801,0,0,,0,0,7,2,2.0,14,0.0,0,6,55100,8,6,6,0,100.0,0,0,debt_consolidation,joint,10000,36,7.96,313.18,A,A5,Mar-2018,Current,whole,Cash,9504.67,617.52,495.33,122.19,0.0
driver,0.0,CA,RENT,40000.0,Source Verified,23.37,,,,0,,2007,2,36,21,169993,145988,0,0,,0,0,17,3,1.0,21,0.0,0,3,25500,5,4,3,0,100.0,0,0,other,individual,28000,60,19.03,726.8,D,D3,Jan-2018,Current,whole,Cash,26540.61,3559.99,1459.39,2100.6,0.0
service deli,2.0,WA,MORTGAGE,35000.0,Source Verified,21.26,,,,0,66.0,2011,2,13,10,62550,24979,0,0,,0,0,2,5,5.0,10,0.0,0,4,43100,10,8,4,0,100.0,0,0,debt_consolidation,individual,2700,36,19.03,99.02,D,D3,Jan-2018,Current,whole,Cash,2409.93,492.25,290.07,202.18,0.0
maint,9.0,VT,MORTGAGE,81000.0,Verified,20.59,,,,1,9.0,2005,3,38,10,258906,62606,0,0,43.0,0,0,3,4,6.0,10,0.0,0,2,17100,23,5,3,3,89.5,0,0,debt_consolidation,individual,15000,60,18.45,384.59,D,D2,Mar-2018,Current,whole,Cash,14689.7,753.8,310.3,443.5,0.0
pricing,10.0,MN,RENT,31000.0,Source Verified,23.96,,,,0,,1989,0,17,12,30132,18753,0,1,,0,0,1,2,,12,0.0,0,5,12600,13,11,10,0,100.0,0,1,debt_consolidation,individual,20850,60,20.0,552.4,D,D4,Jan-2018,Current,whole,Cash,19790.78,2715.67,1059.22,1656.45,0.0
maintenance mechanic ,0.0,MA,RENT,48000.0,Not Verified,18.03,,,,1,21.0,2005,0,14,5,26100,8583,0,0,21.0,0,0,1,0,,5,0.0,0,1,5600,7,4,1,2,78.6,0,0,credit_card,individual,10000,36,7.97,313.23,A,A5,Jan-2018,Current,whole,Cash,8749.43,1561.72,1250.57,311.15,0.0
manager ,0.0,MA,RENT,40000.0,Not Verified,31.02,,,,0,,2009,0,30,13,91448,26778,0,0,,0,0,2,7,14.0,13,0.0,0,1,22500,25,11,4,0,100.0,0,0,major_purchase,individual,5000,36,6.72,153.75,A,A3,Feb-2018,Current,whole,Cash,1779.08,3313.13,3220.92,92.21,0.0
driver,10.0,OR,MORTGAGE,65000.0,Verified,13.91,,,,0,24.0,2005,9,36,19,350696,34223,0,0,,0,0,1,16,2.0,19,0.0,0,5,8400,23,17,10,2,80.0,0,0,debt_consolidation,individual,5000,36,15.05,173.45,C,C4,Jan-2018,Current,whole,Cash,4432.23,858.89,567.77,291.12,0.0
inflight,0.0,FL,RENT,35000.0,Source Verified,30.47,,,,0,,2002,0,11,8,51242,37391,0,0,,0,0,1,5,,8,0.0,0,3,26300,9,7,4,0,100.0,0,0,debt_consolidation,individual,9000,36,13.58,305.77,C,C2,Feb-2018,Current,whole,Cash,8019.63,1366.29,980.37,385.92,0.0
meat manager,10.0,IN,MORTGAGE,40000.0,Not Verified,15.78,,,,0,,1999,2,14,9,33300,19157,0,1,,0,0,2,5,5.0,9,0.0,0,3,18000,8,7,5,2,100.0,0,1,debt_consolidation,individual,18000,60,21.85,495.61,D,D5,Mar-2018,Current,whole,Cash,17487.19,1443.13,512.81,930.32,0.0
project coordinator,9.0,NC,MORTGAGE,39500.0,Verified,50.77,354500.0,Source Verified,17.07,0,,1987,0,22,10,412098,62581,0,0,,0,0,2,1,18.0,10,0.0,0,3,38000,11,7,4,2,100.0,0,0,debt_consolidation,joint,24000,60,9.93,509.11,B,B2,Feb-2018,Current,whole,Cash,22742.45,2029.31,1257.55,771.76,0.0
