earliest_credit_line,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,months_since_last_credit_inquiry
1995,12,8,1940258,69439,4.0
2003,29,13,200880,16847,15.0
2002,32,13,296178,118885,6.0
2011,8,7,17420,11150,
2013,5,5,22500,11150,
1999,18,14,138126,43458,
2004,23,11,36231,22100,1.0
1998,71,16,132676,122541,
2007,17,8,39653,26911,18.0
2006,29,14,127762,99634,5.0
2002,19,9,285190,59263,22.0
2008,7,6,83513,26617,20.0
2006,9,4,31100,20504,10.0
2010,13,9,294946,4761,
2006,10,6,32545,9295,2.0
2004,39,10,434000,16168,2.0
2012,26,18,257483,55837,2.0
2005,31,18,40080,17557,17.0
1995,24,17,375959,150580,10.0
1998,16,5,27200,15695,4.0
1994,24,6,191318,41347,9.0
2005,21,10,45200,14718,16.0
2006,20,16,198398,40935,17.0
1995,36,26,189700,145719,2.0
1989,6,5,11100,7804,
2005,31,10,222385,65415,7.0
2006,27,12,104932,83167,
2004,11,9,11704,11929,3.0
2003,27,8,82103,42833,1.0
2003,51,19,152164,94482,2.0
2006,21,15,58100,42709,18.0
2003,20,14,465849,83755,10.0
1982,24,12,19522,14910,4.0
1993,25,6,301204,76366,8.0
1995,9,5,35408,23962,1.0
2006,24,12,215166,67013,16.0
2003,12,5,63951,40181,5.0
2005,5,4,5700,1225,4.0
2012,11,9,18600,6134,1.0
1998,10,6,40300,12013,
2005,21,15,124874,83699,
2002,15,5,14700,6238,1.0
2013,15,13,220796,17446,9.0
1989,15,10,370500,66610,23.0
2014,8,6,13609,1848,0.0
2002,39,17,405942,164726,0.0
1996,6,2,29696,21229,7.0
2006,19,10,47067,26213,2.0
2001,14,4,27598,4364,4.0
1996,22,14,124700,50573,
1981,29,16,2006500,224693,1.0
2004,16,4,96017,75964,
2006,12,8,31500,11709,13.0
2007,11,6,55300,58125,10.0
2013,13,8,508904,55951,10.0
2000,22,9,492521,39821,0.0
2005,12,8,194922,18920,15.0
2004,27,6,97070,89537,2.0
2000,33,23,91800,51476,7.0
1999,32,16,211896,30937,
2004,23,14,63968,31198,6.0
2002,26,23,171088,17888,0.0
2010,13,8,65871,36833,5.0
1998,29,17,281111,76885,11.0
2001,41,10,202701,104744,7.0
1986,25,8,406670,134052,1.0
2011,12,9,79599,63284,10.0
2000,14,9,271726,45687,3.0
1997,61,27,147059,34968,2.0
2000,37,19,231470,28858,3.0
1993,34,18,1370840,47825,1.0
2013,11,6,41539,22878,15.0
1984,19,8,124134,17578,
1994,48,5,114550,15747,10.0
1985,28,14,115703,87244,8.0
1997,10,5,15530,3989,18.0
2004,41,14,273052,69424,4.0
2006,17,8,66269,27415,6.0
2012,11,6,60231,32584,18.0
2004,25,9,167786,35745,7.0
2005,33,4,77024,51682,5.0
2012,9,5,22500,17350,13.0
2003,11,8,52123,41358,4.0
2006,26,17,351350,16048,0.0
2005,17,8,265449,189488,11.0
2005,25,14,346058,55423,8.0
2000,14,5,49021,31842,2.0
2004,20,11,457555,120128,16.0
2012,16,16,87000,104325,3.0
1992,22,17,123245,34245,10.0
2012,6,6,60911,54828,5.0
2003,23,7,109888,97648,2.0
2004,29,23,96393,67618,1.0
1992,9,5,327900,4459,
2001,19,9,41296,32264,8.0
2004,40,24,308178,38026,12.0
2000,17,9,83695,51941,4.0
2013,13,8,32142,18296,9.0
1997,22,7,156327,26292,2.0
1996,39,21,327869,117782,11.0
1990,35,21,375828,87934,14.0
2003,16,10,386990,69123,
2006,31,17,88090,110034,1.0
2000,45,16,398885,50295,16.0
2011,8,6,263996,13725,15.0
1998,12,9,43850,12481,
2000,7,5,15800,14287,13.0
2007,15,7,20200,11282,12.0
2003,34,20,103621,113065,4.0
2004,31,16,243275,52181,19.0
1995,41,23,136412,128099,3.0
2009,45,10,98629,94411,4.0
2003,18,7,141109,45516,13.0
2000,7,5,43048,21004,23.0
2012,19,11,258500,41835,0.0
2004,16,9,225937,21613,
1989,24,7,24605,9193,
1999,12,4,203900,36705,
2001,37,19,519227,143876,3.0
2003,41,13,42538,29513,5.0
2006,21,12,71326,37363,21.0
2000,47,20,261246,79695,6.0
2006,20,10,106328,40113,0.0
2010,20,7,267513,7705,3.0
2001,13,8,18950,12175,12.0
1997,35,25,91106,26727,4.0
2006,43,23,108689,69112,2.0
2012,12,11,463313,44272,4.0
2000,20,6,115998,136552,10.0
2007,9,6,26411,19599,8.0
2014,12,10,61800,23934,2.0
1997,14,13,44877,36434,
1984,26,15,49114,22084,8.0
2002,25,20,558733,99509,7.0
1996,39,23,621658,94213,9.0
2007,11,10,33232,22558,9.0
2013,9,5,69248,49077,
2002,21,14,33081,14455,
1985,10,6,272880,16543,17.0
1989,65,26,175247,45855,6.0
1998,26,15,374821,115292,2.0
1998,6,3,55600,25836,
1987,14,9,43213,20213,21.0
2006,15,13,359484,68303,1.0
1996,15,12,76700,28402,6.0
2009,28,18,198006,89042,2.0
1997,40,16,80053,48604,3.0
2006,10,5,88128,1407,2.0
1986,11,6,21680,14425,15.0
2008,46,32,302193,320142,0.0
2005,41,13,117091,98224,9.0
2011,10,3,88993,51987,18.0
1984,18,12,85900,17335,
2006,19,10,71684,44532,18.0
2011,8,6,153683,9981,11.0
2003,15,8,217773,14700,6.0
2002,11,7,88960,68333,21.0
2002,24,8,124408,83737,9.0
1999,21,10,76659,49179,0.0
1998,13,4,38489,26028,
2007,12,7,205145,55041,3.0
1998,26,12,110439,61801,11.0
2004,31,10,122566,107012,7.0
1994,39,16,136002,22667,5.0
2012,12,7,59731,41867,17.0
2003,25,12,41914,15566,18.0
2004,16,6,102811,68689,9.0
2012,6,5,26930,8198,7.0
2009,40,16,298232,105006,3.0
1990,15,6,448300,148,
1994,39,26,270258,43027,8.0
2003,12,5,75955,27358,17.0
1996,3,3,10952,9240,7.0
1990,39,11,209410,37449,8.0
1988,33,20,746363,201624,18.0
2007,20,11,50275,22508,8.0
2011,7,5,59562,39608,6.0
1998,27,10,154201,47019,5.0
1983,37,21,194209,94554,12.0
2004,26,8,187776,84389,2.0
2010,19,15,184552,176106,19.0
1995,17,10,424400,26965,17.0
2009,11,10,33557,23521,4.0
2006,11,5,196305,1769,0.0
2002,28,20,250955,51811,3.0
2003,54,19,550400,79242,1.0
1989,38,28,230200,38545,6.0
2000,21,10,45554,20858,0.0
2006,21,10,201092,20608,1.0
1979,48,16,630813,429919,11.0
1998,15,6,88231,30251,11.0
2011,16,12,42232,41199,12.0
1998,23,14,232567,44543,11.0
2001,32,12,468482,44550,12.0
2005,37,22,95131,32894,2.0
2006,19,11,327474,51669,2.0
1999,15,8,243409,61809,7.0
2000,50,10,169328,138250,1.0
1983,40,15,471843,19987,11.0
2004,45,11,361604,78656,2.0
2013,16,12,269963,40812,5.0
2005,7,7,10700,2157,12.0
2007,5,3,14630,11024,7.0
2000,25,18,46625,8815,9.0
1996,24,13,54120,36814,3.0
2002,87,23,582556,428154,3.0
1994,36,8,74800,46999,8.0
2001,14,10,27900,16270,3.0
2007,8,7,22800,14708,
2000,38,12,420539,90792,12.0
1986,25,9,157133,114822,1.0
1997,22,7,591192,105477,11.0
2004,16,13,289741,41799,
1997,16,6,223462,53628,18.0
1988,13,9,126347,86162,4.0
2004,20,11,160068,79704,7.0
2003,15,8,138002,16246,7.0
1994,14,7,14800,9205,10.0
2000,49,22,58396,28997,8.0
1985,31,9,269250,83591,1.0
2011,15,11,28800,12744,4.0
1994,22,10,457283,46079,7.0
2005,21,8,24438,15758,5.0
1987,23,10,412400,42222,17.0
1998,11,6,114672,705,6.0
1995,26,15,376430,16747,1.0
2007,22,7,304578,67494,2.0
2007,13,6,509031,60736,2.0
2002,39,18,287314,92796,2.0
2004,66,20,315880,198889,1.0
2003,18,6,184750,172107,9.0
2002,28,16,191277,40957,1.0
2004,31,13,269852,51650,
2014,15,6,45143,20255,0.0
2003,11,7,84487,53781,7.0
2006,11,8,9900,5638,15.0
1994,26,18,329200,22556,1.0
2006,26,13,84709,57448,15.0
2002,35,12,206914,3755,2.0
2004,24,19,49800,18261,7.0
2010,14,8,23400,13222,9.0
2001,28,15,639438,172642,14.0
2003,17,5,713320,37520,
2004,18,16,224708,51598,2.0
1997,39,23,79900,41485,23.0
1993,30,5,210025,18170,1.0
2005,15,9,42196,24873,
1998,15,8,116024,25494,
1971,27,15,175947,112789,
2005,24,13,341211,116611,
1996,19,7,78016,58273,0.0
2000,34,21,109200,42529,4.0
1987,54,29,336293,143938,5.0
2005,12,5,41000,27781,
2014,7,7,394523,5002,11.0
2002,11,7,53751,21608,3.0
2005,37,9,104869,19574,0.0
2012,2,2,18000,3619,0.0
2010,13,6,78117,69894,11.0
2006,8,6,14200,2812,
1997,22,7,70872,49869,5.0
2006,31,12,207777,21316,18.0
2007,20,13,220941,140301,5.0
2006,22,14,70006,44274,8.0
2008,13,6,54175,6316,1.0
2013,19,18,243357,117095,3.0
1989,39,16,1479694,231440,1.0
2004,36,7,56772,33495,2.0
1995,34,11,538973,80475,4.0
1996,7,5,47442,24302,19.0
2006,19,6,303352,32997,3.0
2004,37,16,104755,84646,6.0
1999,33,19,311435,119846,2.0
1997,19,7,81208,47512,3.0
2003,10,6,302976,25730,10.0
1987,9,6,11900,8133,
2003,18,8,157020,21547,
2009,14,13,49125,30432,11.0
2004,49,33,692921,107267,5.0
2009,15,8,362632,59173,9.0
1996,25,8,42810,33907,6.0
2004,18,5,35542,17751,4.0
2005,11,8,232600,17474,5.0
2004,22,15,18900,6600,3.0
2005,24,11,340923,19323,1.0
2003,17,15,50737,19585,3.0
1995,71,46,130406,98658,3.0
2005,29,2,19129,9323,6.0
2006,13,7,45504,39285,6.0
2014,18,14,60286,32991,0.0
2003,59,35,463535,80579,3.0
2006,19,9,27567,11141,11.0
2000,24,6,38110,21147,18.0
2007,25,10,57830,20372,16.0
1993,7,3,45543,45207,1.0
2005,14,12,28300,16180,21.0
2001,9,7,250755,104859,3.0
1995,27,15,553300,72845,19.0
2012,29,19,122065,66249,4.0
2001,25,16,147207,49947,9.0
2000,18,13,95024,51356,7.0
1994,19,2,34580,22071,20.0
2009,21,8,28025,18739,15.0
2006,31,15,663710,65285,7.0
1984,38,18,276435,31810,9.0
1994,3,2,26400,6829,
2003,14,6,378092,17124,
2009,14,5,143769,159569,2.0
2006,9,6,198408,57154,
2008,12,7,16400,6009,1.0
2013,6,6,22676,3759,10.0
2005,21,10,146318,39615,0.0
1990,23,9,17100,9041,6.0
2009,24,16,78604,45180,2.0
2004,17,9,64474,35687,
2007,4,2,1500,303,0.0
2011,18,15,48191,28922,13.0
2001,29,8,101841,75067,3.0
1994,25,14,110801,100850,8.0
2012,22,15,103351,88424,1.0
2001,58,36,430540,54539,14.0
2010,51,9,74623,53481,0.0
2011,16,12,126492,54449,7.0
2005,32,11,329516,57989,3.0
2003,9,6,43145,18588,5.0
2013,17,11,193672,13334,24.0
1999,12,7,76695,50957,2.0
2008,15,7,356854,35679,8.0
1994,32,15,465105,121966,10.0
2007,20,11,177639,14909,11.0
2000,17,6,43452,22009,
1997,33,14,312983,71163,12.0
1999,17,8,252659,48364,1.0
2014,7,6,18300,1900,1.0
2000,42,19,614521,191053,0.0
2010,8,4,40900,35904,
1999,22,8,540881,50552,13.0
2012,9,6,59336,39642,17.0
2004,48,31,239534,181815,0.0
1981,36,19,103715,56057,6.0
1998,39,16,126908,81236,3.0
2003,26,7,379695,36417,4.0
2005,21,17,288872,57774,
2006,15,11,71300,39880,
2011,21,15,112075,74908,3.0
1996,15,7,282100,920,17.0
1999,15,6,235777,15108,16.0
2005,30,12,132802,69578,
2009,13,12,88768,32763,1.0
1997,26,13,37200,5893,7.0
2013,29,26,168959,51843,2.0
2000,34,13,190201,23562,
2001,18,5,110574,75221,16.0
1993,18,11,65191,27398,13.0
2002,23,9,62823,50217,3.0
2009,26,13,41072,41012,11.0
2004,23,15,129448,102118,6.0
2001,38,20,106434,38711,5.0
2012,11,9,36245,16875,5.0
1989,55,30,89740,39727,6.0
1987,42,22,599200,54112,16.0
2001,11,7,40762,28351,1.0
2003,36,13,743110,474448,2.0
2004,27,14,101441,55870,17.0
1997,12,9,146978,161097,9.0
2011,21,14,254266,89167,14.0
1988,13,8,267000,4444,9.0
2005,12,4,510786,33941,17.0
2008,24,16,409925,28755,4.0
2004,12,8,34800,14992,2.0
2005,31,18,310802,84695,5.0
2003,11,9,50256,8865,0.0
2001,40,15,280020,56939,12.0
1996,34,16,178720,20834,7.0
2002,20,12,104390,83100,4.0
2007,28,11,372250,81345,2.0
2004,40,16,251634,44538,8.0
1988,5,4,43200,4077,4.0
2005,16,9,136430,11777,0.0
2006,18,10,17100,12228,
1999,31,14,446497,85401,6.0
1984,47,16,64768,65759,
2003,24,17,89842,51161,
2003,15,11,95580,39857,
2006,10,9,90469,74180,7.0
2003,15,8,71212,68588,10.0
1999,17,11,91116,26277,
1997,20,4,10300,1004,
1982,12,8,26900,15622,
1989,43,16,270348,9694,0.0
2005,18,13,67546,32066,9.0
2007,38,26,295165,85260,6.0
2004,26,12,461857,61884,5.0
2002,11,7,75784,60795,23.0
2007,13,6,23798,13045,
2007,20,13,102204,105306,
2007,18,8,238600,36464,11.0
1980,54,27,195921,140472,7.0
1996,29,15,319536,154365,7.0
2007,20,11,113051,7685,5.0
1986,15,8,61983,26335,4.0
2001,36,10,296471,82020,2.0
2005,46,19,288456,20795,0.0
2006,21,12,32100,9283,7.0
1997,8,5,330704,17932,
1992,15,8,108527,17040,10.0
2004,33,13,91357,78671,
2011,10,7,49234,23214,5.0
2002,13,10,512932,39416,7.0
2004,36,13,121217,87011,21.0
1998,13,5,67127,30738,12.0
2007,24,12,399441,44606,7.0
2007,17,11,70893,33322,10.0
2006,24,18,78620,64065,14.0
2011,7,5,68100,53631,14.0
2003,29,17,261138,66175,2.0
2002,22,9,124881,34799,6.0
2009,12,9,34635,21473,7.0
2010,25,18,88742,23599,6.0
2006,7,6,98978,16403,17.0
1996,3,1,2000,1961,
2002,15,9,111092,41962,9.0
1996,42,22,635668,92579,1.0
1991,26,10,253475,12302,
1992,19,9,38843,3335,
1989,34,19,477400,3130,4.0
1973,29,10,31980,10080,0.0
2013,2,2,4000,3969,
1996,31,18,322372,49559,6.0
1997,23,10,394124,87856,2.0
2012,20,15,54355,27511,14.0
2012,23,10,48347,35991,11.0
2000,21,11,255145,50350,0.0
2001,10,7,51494,37337,22.0
2005,24,8,318666,23780,7.0
2004,16,8,237699,17588,3.0
1990,47,15,19700,2191,1.0
2009,19,13,105538,77541,16.0
1998,37,17,84059,60778,4.0
2002,23,9,55472,39664,22.0
2004,11,5,80384,53209,23.0
2011,21,12,46151,19872,5.0
1985,20,8,237326,37664,
2008,34,9,98567,32051,4.0
1996,16,6,7800,2244,24.0
1996,28,17,583646,71578,8.0
2003,20,9,153155,121612,8.0
2007,20,13,89163,46441,3.0
2005,16,10,36114,17532,5.0
2000,19,6,33304,22663,23.0
1998,27,11,366949,38735,0.0
1995,22,14,35500,13532,13.0
2003,16,5,50432,37647,16.0
2011,10,3,11500,8130,22.0
2007,27,8,78587,65781,3.0
1989,39,19,415244,16750,7.0
1991,32,12,334672,16893,4.0
2003,33,16,125219,56673,8.0
2007,23,8,131838,38274,8.0
1999,8,7,47800,18181,
2002,45,18,78351,40344,11.0
2002,21,5,154200,3679,2.0
2000,30,18,314197,24553,4.0
2006,26,6,404718,36148,0.0
2000,35,16,279086,120639,
2012,12,9,45100,24084,1.0
2007,32,24,171469,103463,5.0
1994,21,17,195996,36987,3.0
1987,18,14,282918,52880,8.0
2006,10,7,79573,26807,
1986,21,11,280228,62194,1.0
2005,5,4,62500,27110,15.0
1973,28,12,328100,6471,4.0
2007,15,6,55990,35405,6.0
1993,33,14,221171,48074,7.0
2005,30,20,185920,55245,0.0
2002,26,9,76644,54562,6.0
2011,6,5,42736,20049,
1993,32,14,330075,266484,5.0
1988,37,19,465500,64572,2.0
2005,17,8,47764,28879,0.0
1998,25,15,107195,9348,14.0
2007,24,10,19428,16184,5.0
1991,12,9,60644,23517,13.0
2006,16,10,66983,23428,9.0
2003,27,15,454216,43850,3.0
2005,17,11,59800,9684,9.0
2006,16,7,31928,18087,0.0
1993,21,12,36257,29780,0.0
1990,20,8,164418,22654,1.0
1993,17,6,321090,13774,
1992,21,15,389440,239349,7.0
2000,40,23,190575,122434,8.0
2003,17,13,39372,23135,13.0
2014,14,9,42861,31660,0.0
2005,16,10,224044,31210,
1983,27,16,115494,37184,5.0
1989,33,23,201385,23786,2.0
2007,32,16,349206,177340,13.0
2006,33,13,59592,33573,3.0
1996,10,4,27740,26495,
2002,21,17,100257,47255,8.0
2003,29,13,50200,25199,2.0
2003,24,19,58900,11577,6.0
1999,52,17,82195,52121,3.0
2001,22,8,41068,34397,14.0
2001,15,8,446978,27561,0.0
1991,20,7,128601,76915,1.0
1996,29,13,249425,200445,7.0
1995,28,10,624647,28388,1.0
1993,11,2,22000,4466,5.0
2002,9,7,23861,13498,8.0
2003,27,14,95897,36858,6.0
2003,28,11,106700,15595,0.0
2003,34,13,120003,75734,16.0
2005,23,8,86257,34602,6.0
1994,36,19,304295,105910,2.0
2000,17,8,85595,57993,7.0
1995,46,17,221666,81494,1.0
2013,9,8,70301,51177,0.0
2011,11,8,68250,51576,19.0
2003,18,11,96700,39721,1.0
2015,4,4,22500,11645,10.0
2007,9,8,25822,8411,6.0
1995,20,11,675349,135909,16.0
2007,12,10,49800,25625,
2006,26,7,52549,34717,1.0
2002,18,8,85680,24883,19.0
1990,22,8,268142,48159,
1994,24,9,1340838,32863,1.0
1986,13,5,22196,15145,7.0
1998,35,11,45344,20480,1.0
1993,21,11,30632,11648,2.0
1991,18,11,121994,61633,
2005,13,9,509012,81210,10.0
2002,15,7,6400,1773,2.0
2000,33,15,305764,100347,7.0
1986,27,19,104727,54356,9.0
2003,35,10,147546,108121,0.0
2007,21,13,68000,33223,6.0
2003,27,6,382481,73262,3.0
2000,26,13,119028,63236,4.0
2000,13,6,298666,78496,8.0
2000,40,15,277732,95551,4.0
2012,14,13,105634,93168,3.0
2007,20,9,366281,41134,7.0
2006,63,5,99673,80911,2.0
1989,68,36,170053,88797,2.0
2004,40,17,251028,64911,9.0
1987,16,10,62121,30103,7.0
2013,10,8,13692,10214,14.0
1998,9,6,48290,28042,1.0
2003,15,12,157699,48597,5.0
1983,80,32,75066,58898,5.0
2005,16,8,51200,12621,4.0
1985,49,26,620049,38325,9.0
2006,8,3,4686,2528,18.0
1996,36,9,260443,22199,1.0
2011,17,14,43220,37585,12.0
1997,34,13,158029,150791,8.0
2004,50,24,127377,80873,16.0
2006,14,9,318174,44812,10.0
1996,51,38,208305,92556,1.0
1995,40,19,326916,69262,5.0
2001,36,20,264979,258766,10.0
2012,10,8,261601,66229,6.0
2003,16,6,334116,15404,
2002,15,4,70041,19240,
1997,41,26,556666,102590,
2008,7,5,24616,12775,4.0
2000,13,8,24788,16486,21.0
2003,20,10,93370,52121,8.0
2013,25,19,176059,107066,4.0
1993,7,6,94599,10946,
2011,10,6,46574,21770,
2004,22,7,19000,6577,3.0
1977,64,29,495268,138983,14.0
1999,21,7,156400,5090,13.0
2005,18,7,17500,11424,
2000,27,13,291342,70848,4.0
1998,12,5,4490,2740,5.0
2002,19,6,460753,161570,3.0
1996,21,6,1025803,270137,3.0
2004,24,7,469223,109777,4.0
2001,37,14,408405,78141,17.0
1983,29,21,428105,334296,15.0
2007,5,3,30364,16463,
2004,32,9,484431,61899,13.0
2007,44,19,332387,58767,3.0
2005,14,11,218011,43612,13.0
2008,13,10,29909,17975,9.0
2006,13,11,53205,44488,
2001,49,19,629894,71835,8.0
2006,20,8,96524,75878,1.0
2006,24,10,533283,90958,2.0
2004,18,8,214394,36988,3.0
2002,44,13,186713,163265,9.0
1998,23,19,255391,68552,11.0
2006,31,10,354600,39544,10.0
2004,20,13,41434,21382,8.0
2008,13,7,28500,18243,0.0
1986,46,15,401380,185399,2.0
2000,7,2,10200,7027,
2004,12,9,66906,16146,4.0
2005,25,10,360295,75855,11.0
2012,7,5,137309,4169,0.0
2000,24,13,116318,11730,15.0
2005,21,9,44991,30255,0.0
2005,23,14,150027,100280,8.0
1987,49,32,144500,31210,
2001,32,8,152375,122638,
1997,27,13,451795,118963,3.0
2008,24,16,81769,43629,7.0
2010,32,23,612328,74578,9.0
2002,25,17,464098,158933,1.0
1999,13,3,26663,22523,11.0
1989,41,13,184317,19662,
2006,14,10,45917,17475,
1996,22,6,252212,24861,3.0
1995,6,4,20500,5223,22.0
2011,17,14,45390,27333,18.0
2003,37,15,361341,50844,5.0
2012,13,6,45429,15189,2.0
2000,13,8,429300,9266,10.0
1971,14,5,44050,34712,3.0
2002,21,8,14203,5010,10.0
2012,12,7,28125,18720,
1997,24,10,381462,46394,
2003,43,25,494797,123409,2.0
2009,29,21,72500,22223,0.0
2006,22,16,58670,26526,12.0
2008,5,4,29100,12253,21.0
2000,15,9,292179,31365,3.0
2006,33,15,295000,30703,
2000,33,3,234000,14676,11.0
2002,16,11,260208,29352,10.0
2014,6,5,45715,40961,1.0
2004,24,9,227200,25341,6.0
2001,26,19,68420,31706,4.0
2012,7,4,39238,17236,8.0
1999,22,9,164860,1272,8.0
1978,6,5,301100,20814,0.0
2000,32,7,58075,29607,10.0
1994,50,20,351511,65372,8.0
1991,25,12,172887,21306,4.0
1997,14,5,83866,70132,3.0
2000,46,24,166687,194651,11.0
2000,11,3,332152,8175,19.0
1998,14,5,10900,2937,3.0
1996,27,7,165773,20686,4.0
2007,12,11,338301,22895,12.0
2005,34,7,254999,18959,8.0
1999,21,13,167640,117472,
2004,27,12,154182,10885,7.0
2008,14,9,199900,27036,
1967,20,12,157999,64416,11.0
2008,13,3,9700,8408,
1994,46,22,798310,74053,9.0
2010,11,8,47742,40457,3.0
2011,11,5,22534,6440,11.0
2002,29,12,196101,51564,3.0
2002,18,11,116628,59004,9.0
2013,6,4,40059,30191,12.0
1994,11,6,82700,77049,12.0
2006,11,7,266188,39688,8.0
2000,37,19,340085,65550,8.0
1999,27,18,446549,72205,9.0
2002,35,6,376069,66770,10.0
2012,26,19,126100,60258,2.0
2006,13,5,218517,29161,2.0
2001,19,8,325986,130650,
1977,26,18,312589,49224,4.0
2007,17,13,59575,17531,1.0
2006,23,13,308813,110441,2.0
2006,49,26,189856,107464,1.0
2000,40,16,275062,20031,11.0
2009,21,18,330527,76873,21.0
2004,2,2,8900,0,
2003,25,15,310953,45350,
1982,25,17,149089,18672,8.0
2004,33,12,142335,30270,6.0
1997,16,10,167816,48950,6.0
2006,25,15,171455,133484,0.0
2004,10,9,212100,32543,5.0
2007,57,13,109317,95619,5.0
1998,57,27,200526,123747,8.0
1991,23,15,455806,80576,6.0
1994,15,10,75645,48400,19.0
1999,22,9,143341,41618,
2001,30,11,133138,26262,9.0
1980,51,29,291570,126367,7.0
2004,25,9,90190,65268,6.0
2005,18,11,484591,47080,17.0
2002,20,8,330391,33323,10.0
2007,32,22,99433,63686,6.0
2006,11,7,50233,25262,0.0
1994,14,8,63049,43568,1.0
2007,43,18,115525,62979,0.0
2005,48,16,595953,32747,0.0
2000,18,12,49774,34312,2.0
2000,23,15,335803,32922,7.0
2014,7,6,50081,33378,17.0
2012,18,14,201244,15908,1.0
2002,20,7,424177,38003,2.0
2002,31,24,108799,81274,5.0
1990,9,4,21800,20645,
1998,22,13,298041,68846,0.0
2001,31,11,43052,13794,0.0
2004,33,12,607189,138545,0.0
2007,47,17,286712,38122,4.0
1999,65,36,128500,34072,0.0
2002,18,12,384198,60208,6.0
2002,35,14,44545,36087,3.0
2002,23,7,249401,87470,8.0
1993,43,19,212046,43698,7.0
2000,18,6,13000,5473,
2012,9,7,387140,15083,3.0
2014,10,8,40521,28134,0.0
2003,17,11,274856,164563,0.0
2005,19,18,133455,93227,
2003,30,9,56458,31360,13.0
1998,31,13,65600,33457,
1996,24,6,110895,27130,20.0
2004,8,8,9300,6643,13.0
2002,26,7,161205,56323,1.0
2014,14,11,81092,59443,4.0
2002,35,21,148383,110615,10.0
2001,11,7,247678,27368,14.0
1987,5,5,12000,854,5.0
2007,24,15,470538,61065,2.0
2004,15,5,124114,5878,8.0
1993,20,11,717200,71321,22.0
1984,19,8,88000,12782,7.0
2012,22,6,112112,21705,0.0
2004,28,24,821171,248537,1.0
2000,21,13,123173,101218,13.0
2008,13,11,58442,34406,5.0
2006,44,11,243414,59680,3.0
1998,26,11,311720,27031,0.0
1995,13,2,33000,1695,
2003,43,19,673427,104889,5.0
1988,7,5,48731,23871,15.0
1974,15,8,157600,58718,
1986,34,23,728319,282334,3.0
2010,11,8,37500,5575,4.0
1999,38,20,334220,49714,0.0
2009,5,5,14200,10234,8.0
2000,29,15,364724,56174,2.0
1996,11,5,19200,3522,1.0
2004,20,15,88357,38457,1.0
2007,9,9,62750,2095,2.0
2007,8,6,30189,12339,
2009,15,12,179787,26164,15.0
1992,28,15,90484,69090,
2002,53,12,182187,172428,17.0
2008,18,10,76830,49871,19.0
2006,27,16,38411,22854,5.0
1997,42,17,567024,90306,6.0
1998,24,12,347850,95669,10.0
1994,32,14,240269,108349,0.0
2003,23,15,88344,106270,4.0
2007,22,14,90654,41801,2.0
1996,7,7,40981,24132,9.0
2006,24,10,72542,9484,21.0
2010,21,16,218904,46677,6.0
1986,12,9,163212,18094,16.0
2007,8,5,18800,10380,3.0
2002,31,19,104773,52813,1.0
2005,17,6,33056,23188,6.0
2007,36,21,169993,145988,1.0
2008,16,8,82103,17541,5.0
2002,30,13,276433,39956,6.0
2007,22,7,19900,8414,15.0
2011,13,10,62550,24979,5.0
2005,38,10,258906,62606,6.0
1989,17,12,30132,18753,
2000,18,9,47500,8473,
2005,14,5,26100,8583,
2009,30,13,91448,26778,14.0
2005,36,19,350696,34223,2.0
2002,11,8,51242,37391,
2002,11,5,197233,31956,20.0
1989,37,16,409220,23637,3.0
1999,14,9,33300,19157,5.0
1987,22,10,412098,62581,18.0
2005,40,29,407182,493680,8.0
2003,21,15,430094,108041,4.0
2000,20,11,143246,17354,10.0
1999,24,10,46931,20542,8.0
1999,20,15,448035,109019,
2007,35,23,128249,131298,10.0
2007,28,16,187514,161025,9.0
2000,15,8,116720,15197,
1997,37,22,118730,102669,2.0
2002,25,19,605349,93021,6.0
2007,31,25,152232,75596,
2000,27,13,561448,78874,19.0
2007,49,30,171166,145408,3.0
1991,29,8,185232,9464,20.0
2004,27,10,82706,28691,0.0
2006,16,15,246684,2548,0.0
2003,16,5,53837,36399,18.0
2002,28,13,200725,163209,10.0
2006,13,2,36066,13867,
2008,29,12,72487,56308,1.0
1995,29,12,674206,109888,2.0
2005,12,6,161435,8309,2.0
1998,32,15,861782,286989,0.0
2004,49,22,494260,110979,2.0
2007,26,16,134946,81739,2.0
1983,25,12,206076,109326,23.0
1997,22,10,282534,76271,2.0
2000,16,10,60746,41330,16.0
2004,34,15,147212,92680,0.0
2008,11,6,28300,19943,
2004,19,13,57160,31224,6.0
2001,42,13,112003,74388,1.0
2011,13,7,93839,64515,22.0
2000,9,7,16700,3423,1.0
2005,26,12,98518,97785,20.0
2005,49,19,160668,44809,10.0
2002,12,7,32829,17444,6.0
2001,24,12,156800,23759,0.0
2003,28,20,79484,35458,8.0
1990,31,7,408718,30064,11.0
2003,11,9,26100,17570,4.0
1991,23,13,106409,28495,10.0
1996,18,11,110317,35975,20.0
1998,48,17,75207,105444,
2014,17,13,23343,14877,9.0
1999,31,16,88821,69435,10.0
2005,31,2,40871,22871,
2010,20,12,277678,31679,4.0
2002,12,7,11800,7652,11.0
2009,12,8,65497,28674,22.0
2007,5,5,98860,37591,
2014,11,9,342736,33598,11.0
2012,20,14,106613,53325,6.0
2003,12,6,285635,7643,9.0
2008,24,6,18213,15950,7.0
