emp_title,emp_length,state,homeownership,loan_amount,term,interest_rate
surgery assistant,2.0,CA,OWN,8800,36,9.93
operator,10.0,WI,OWN,25000,60,12.62
senior insurance sales rep,6.0,FL,MORTGAGE,10000,36,12.62
service tech,3.0,IN,MORTGAGE,15000,36,18.06
director of operations - women's basketb,4.0,GA,RENT,12000,36,6.71
owner,10.0,MO,MORTGAGE,20000,36,6.07
manager,10.0,CA,MORTGAGE,2600,36,18.06
senior software engineer,0.0,NC,MORTGAGE,20000,36,5.32
director of business affairs,0.0,MI,MORTGAGE,33550,36,13.59
human resources representative ii,1.0,TN,MORTGAGE,3000,36,7.96
director of sales,10.0,MI,MORTGAGE,40000,36,9.43
driver ,10.0,AZ,MORTGAGE,6000,36,5.31
practice director,2.0,IN,MORTGAGE,40000,36,6.07
sterile processor,1.0,AL,MORTGAGE,15000,36,21.45
truck driver,2.0,WA,RENT,20000,36,7.35
qma,2.0,IN,OWN,16000,36,11.98
plumber,10.0,NY,MORTGAGE,14000,36,7.34
rn,10.0,OR,MORTGAGE,20000,36,6.07
truck driver,1.0,WA,MORTGAGE,20000,60,12.61
hr director,10.0,GA,MORTGAGE,10000,36,7.34
receptionist ,0.0,NV,RENT,3000,36,9.93
,,GA,MORTGAGE,15000,60,9.44
general manager,9.0,TX,MORTGAGE,11200,60,18.45
owner,10.0,CO,MORTGAGE,20000,36,6.07
diver,4.0,PA,RENT,3000,36,11.99
investigator,10.0,TX,MORTGAGE,8500,36,9.44
lamination,2.0,IN,MORTGAGE,3000,36,12.62
design drafter,1.0,TX,MORTGAGE,28950,60,11.98
strategic planner,9.0,AL,MORTGAGE,30000,36,12.61
pharmacist,2.0,MA,RENT,20000,36,5.32
senior network systems programmer,5.0,MD,MORTGAGE,35000,36,12.61
legal secretary,10.0,AZ,MORTGAGE,17000,36,9.44
hr manager,0.0,VA,MORTGAGE,7500,36,15.04
supervisor (master of record),10.0,TX,MORTGAGE,2500,36,6.71
owner,10.0,GA,MORTGAGE,15000,36,7.35
vp finance,3.0,FL,MORTGAGE,36000,36,6.07
sales manager,2.0,FL,RENT,5000,36,15.04
account manager,4.0,NY,RENT,25000,36,9.92
general manager,10.0,ND,RENT,20000,36,16.01
sales and service fire protection,10.0,CA,MORTGAGE,5250,36,6.72
msa,3.0,NY,RENT,4500,36,15.05
barista,1.0,NY,RENT,1000,36,22.91
autocad senior electrical designer,3.0,LA,MORTGAGE,18000,60,28.72
,,TX,MORTGAGE,35000,36,6.71
paralegal,0.0,NY,RENT,10000,36,10.42
support services assistant,4.0,CA,RENT,22000,60,9.93
team member,0.0,TN,MORTGAGE,7000,36,7.35
account executive,3.0,TX,RENT,12000,60,26.3
officer,9.0,GA,RENT,10000,60,7.34
administrative lead,10.0,CA,RENT,12000,36,9.43
solutions engineer,2.0,GA,MORTGAGE,20000,60,10.41
university police,0.0,NY,MORTGAGE,5000,36,13.58
loan processor,2.0,TX,RENT,4000,36,14.08
operator ,10.0,VA,MORTGAGE,12000,36,9.44
driver,7.0,NY,RENT,10000,36,10.91
rn,6.0,OH,MORTGAGE,9000,36,9.44
captain,4.0,FL,RENT,33000,36,6.08
project manager,6.0,NJ,MORTGAGE,40000,36,6.71
clinical tech,3.0,MS,RENT,16000,60,10.91
siu qc/qa analyst,10.0,NC,RENT,35000,36,14.08
general manager,10.0,KY,OWN,13975,60,11.98
sales engineering manager,10.0,IL,RENT,8000,36,5.32
senior quality analyst,5.0,VA,OWN,35000,36,6.72
facilities mechanic,10.0,NC,MORTGAGE,25000,60,6.71
customer support rep,10.0,NJ,RENT,3500,36,15.05
sushi chef,7.0,CO,RENT,10000,60,10.9
machinest,10.0,PA,RENT,11200,60,12.62
owner ,3.0,MS,MORTGAGE,30000,60,11.99
welder,0.0,IN,MORTGAGE,10000,36,5.32
senior product developer,3.0,IN,RENT,10000,36,5.32
general manager ,2.0,NJ,RENT,15000,36,19.03
project mgr,5.0,NC,RENT,7500,36,9.93
senior qa analyst,10.0,MO,MORTGAGE,22000,60,14.07
direct support professional,3.0,NY,RENT,6000,36,13.58
business manager,10.0,MA,RENT,6025,36,5.31
manager,10.0,CA,RENT,10000,36,20.39
maintenance engineer,10.0,CA,RENT,30000,36,6.71
gene regulation product and services man,6.0,CA,RENT,20000,36,13.58
service,3.0,SC,OWN,10000,36,9.93
sr pension administrator,10.0,FL,MORTGAGE,12000,36,6.71
appraiser,0.0,MI,RENT,6100,36,10.91
phd student,1.0,TX,RENT,12000,36,7.97
referral representative,0.0,NC,MORTGAGE,4000,36,10.41
sales manager,5.0,FL,RENT,6000,36,14.08
professor,10.0,GA,MORTGAGE,30000,36,5.32
customer success manager,2.0,MD,MORTGAGE,9600,36,10.91
it specialist,3.0,VA,OWN,10500,36,12.62
janitor,5.0,IL,OWN,6000,36,9.44
order specialist,10.0,FL,MORTGAGE,5525,36,16.01
department lead,10.0,TX,RENT,5900,36,11.98
loan officer,3.0,NH,RENT,13600,36,6.07
bus driver ,7.0,NJ,OWN,12000,36,17.47
principal,7.0,PA,MORTGAGE,20000,36,10.91
paraprofessional,10.0,MA,RENT,23000,36,21.85
teacher,10.0,ND,OWN,25000,60,30.79
machine tender,10.0,CT,RENT,19000,36,7.96
retail banker,4.0,FL,MORTGAGE,1500,36,10.42
owner,10.0,SC,OWN,15000,36,6.72
product owner,6.0,IL,RENT,25000,60,14.07
director of partner business,2.0,NJ,MORTGAGE,5600,36,15.05
personal banker,10.0,AZ,MORTGAGE,7000,36,13.59
owner ,10.0,CA,RENT,35000,36,12.62
administrative assistant,10.0,MN,OWN,8000,36,6.08
,,CT,RENT,18000,36,10.91
director of music,10.0,KY,RENT,30000,36,16.01
analyst,6.0,MD,MORTGAGE,15000,36,9.44
customer service supervisor,10.0,CT,OWN,4800,36,10.41
deputy sheriff,6.0,FL,MORTGAGE,21000,60,10.42
finace ,8.0,OH,MORTGAGE,12500,36,10.42
specimen processor,5.0,IL,MORTGAGE,13000,36,5.32
fuel transport driver,2.0,TX,MORTGAGE,28000,60,10.9
contractor - work from home,4.0,AL,OWN,10300,36,13.59
csp,8.0,TX,OWN,6400,36,9.92
security ,3.0,SC,OWN,10000,36,21.85
,,NY,MORTGAGE,2500,36,7.35
senior manager,0.0,NY,RENT,30000,60,11.99
sales specialist,10.0,NY,RENT,22500,60,24.84
correctional officer,10.0,NY,MORTGAGE,5000,36,6.71
secretary,10.0,IL,OWN,40000,60,7.97
supervisor,3.0,NJ,RENT,3600,36,13.59
server,2.0,WI,RENT,6800,36,12.61
solutions architect,6.0,ID,MORTGAGE,34725,60,15.05
sales director,8.0,IL,RENT,35000,36,14.07
lockbox specialist iii,4.0,OH,MORTGAGE,30000,36,20.39
,,WA,RENT,17000,36,13.59
naval officer (future operations),10.0,VA,OWN,3000,36,10.9
machine operator,10.0,CA,MORTGAGE,15000,60,10.42
art director,0.0,NY,RENT,24000,36,10.91
technical support,2.0,PA,RENT,6000,36,9.92
cleaner,10.0,TX,OWN,8000,36,12.61
digital product manager,1.0,CA,RENT,16000,36,12.61
president,9.0,AZ,MORTGAGE,30000,36,7.96
lunchroom supervisor,1.0,MI,MORTGAGE,40000,36,5.32
,,OK,OWN,7000,36,16.02
"manager, fp&a",1.0,CA,RENT,15000,36,9.92
graphic designer,1.0,OR,OWN,12000,36,11.98
teacher,2.0,NY,RENT,6000,36,6.08
fire fighter,1.0,MA,MORTGAGE,26650,36,9.44
shipping,8.0,WI,MORTGAGE,10000,60,11.98
teaching fellow,0.0,AZ,RENT,20000,60,20.39
dental hygienist ,6.0,TX,OWN,10000,36,7.97
associate,10.0,NE,RENT,15000,36,16.02
analyst,6.0,NC,MORTGAGE,40000,60,14.07
customer relations specialists ,2.0,PA,RENT,1500,36,21.45
nanny,1.0,WI,RENT,3500,36,6.08
information technology,10.0,TX,MORTGAGE,21000,36,6.71
sr manager,1.0,AZ,MORTGAGE,14650,36,15.04
sales manager,1.0,CO,RENT,20000,60,18.45
,,NJ,OWN,12000,60,18.45
group leader,9.0,ME,MORTGAGE,20000,60,13.59
state regulatory,3.0,NC,MORTGAGE,24000,36,13.58
,,CA,RENT,30000,60,13.59
,,MA,RENT,8000,36,15.05
,,CA,OWN,40000,60,7.34
nurse technician ,3.0,NY,RENT,15000,60,19.03
shift manager ,10.0,AZ,RENT,32000,60,19.42
empowerment leader,10.0,IL,MORTGAGE,8500,36,9.92
nurse/hbo technician,10.0,OH,MORTGAGE,16000,36,7.97
department chari,10.0,MD,RENT,10000,36,9.44
logistics spealist,10.0,OK,MORTGAGE,12000,36,7.96
gm clerk/cashier,10.0,AZ,MORTGAGE,12500,60,15.05
teacher,10.0,FL,RENT,1000,36,7.35
associate,3.0,NJ,RENT,40000,36,7.35
area operator,10.0,IL,MORTGAGE,35000,60,18.06
dental assistant,3.0,NJ,RENT,6200,36,13.59
,,IL,MORTGAGE,15000,36,6.71
senior field services rep,10.0,NJ,MORTGAGE,6000,36,6.08
,,IL,OWN,5000,36,17.47
diesel mechanic,5.0,OH,MORTGAGE,40000,60,15.05
sales,2.0,WI,MORTGAGE,19000,60,7.34
special education teacher,2.0,NY,RENT,10000,36,12.61
program specialist,4.0,SD,MORTGAGE,39600,36,7.35
sales,2.0,TX,RENT,16000,60,9.93
assistant,5.0,FL,RENT,6000,36,18.45
revit coordinator / cad technician,10.0,CA,RENT,6000,36,18.06
sec/treas,10.0,NE,MORTGAGE,25000,36,20.39
research engineer,1.0,NY,MORTGAGE,40000,36,7.35
director of administration,6.0,FL,MORTGAGE,25200,60,16.02
service manager,10.0,AL,OWN,10000,36,5.32
retail sales/support mgr,1.0,TX,MORTGAGE,30000,60,12.62
cnc machinist ,0.0,ND,RENT,30000,60,10.9
manager,10.0,AZ,MORTGAGE,35000,36,13.59
branch manager,10.0,NV,MORTGAGE,25000,36,6.07
owner agent,10.0,TX,MORTGAGE,5000,36,10.9
owner,0.0,AL,OWN,8000,36,10.9
administrative officer,2.0,CA,RENT,35000,36,16.02
district operations manager ,10.0,CA,MORTGAGE,28000,36,7.97
factory worker,0.0,OR,MORTGAGE,2500,36,6.72
transfer driver,10.0,TX,RENT,5600,36,17.09
office manager,5.0,TX,MORTGAGE,13000,36,12.61
senior fellow engineer,10.0,SC,MORTGAGE,14400,36,9.44
general manager,2.0,IN,RENT,10100,36,13.59
teacher,10.0,LA,MORTGAGE,7400,36,19.03
audio eng,10.0,FL,RENT,14000,36,9.44
project engineer,5.0,LA,MORTGAGE,20000,36,9.44
manager ,4.0,NC,MORTGAGE,40000,60,16.02
sheet metal journeyman,10.0,NJ,MORTGAGE,4000,36,14.07
shipping foreman,10.0,TX,MORTGAGE,10400,36,6.72
pharmacy ,6.0,OH,RENT,16000,36,7.97
work and receivng dock ,10.0,TX,OWN,17550,60,22.91
,,SC,OWN,12000,60,17.47
,,NY,RENT,7000,36,14.08
department administrator,7.0,CA,RENT,19000,36,18.06
registered dietitian,10.0,TX,MORTGAGE,25000,36,9.93
construction foreman,10.0,CA,RENT,30000,60,23.88
counselor,2.0,NM,RENT,1825,36,13.59
social worker ,5.0,SC,MORTGAGE,8300,36,7.96
"sr manager, global payroll",0.0,CA,MORTGAGE,10000,36,5.31
employee health care specialist,10.0,WA,MORTGAGE,7000,36,6.08
server,3.0,CA,RENT,3500,36,14.08
graduate research associate,2.0,AZ,RENT,12000,36,7.34
stocker,5.0,PA,RENT,10200,60,18.06
gs-11 logistics specialist,10.0,OH,MORTGAGE,8000,36,6.0
supervisor ,10.0,GA,MORTGAGE,13000,60,13.59
direct sales agent,2.0,TX,MORTGAGE,11000,60,18.06
surveyor tech ii,4.0,FL,RENT,13000,36,14.07
campus security officer,6.0,CA,RENT,10000,60,13.58
electronic tech,8.0,FL,RENT,4500,36,7.35
installer,10.0,TX,RENT,8500,36,9.43
mri ,3.0,NY,RENT,18000,60,21.45
inspector,0.0,TN,MORTGAGE,23000,60,11.99
driver,8.0,MA,MORTGAGE,30000,60,24.84
account executive,9.0,NC,MORTGAGE,22000,36,6.72
ceo,4.0,CA,MORTGAGE,15000,36,9.44
technician,0.0,FL,MORTGAGE,24000,36,5.32
equipment operator,10.0,WV,MORTGAGE,10000,36,9.43
,,TX,MORTGAGE,15000,36,15.05
owner,7.0,FL,RENT,10000,36,9.93
driver,0.0,NY,RENT,11450,60,30.65
driver,5.0,CA,RENT,5000,36,11.98
police officer ,3.0,CA,RENT,14000,36,14.08
ms3,7.0,OR,RENT,4000,36,19.03
server,1.0,NY,RENT,5000,36,6.72
general sales manager,9.0,IN,MORTGAGE,20000,60,21.45
machine operator,10.0,PA,MORTGAGE,20000,36,10.41
gse mechanic,5.0,CO,MORTGAGE,9000,36,11.98
kitchen manager,0.0,WA,RENT,10000,36,12.62
butcher assistant,6.0,MO,OWN,4000,36,7.97
cardiovascular technician,10.0,AZ,OWN,4800,36,10.91
money ctr ,10.0,OR,MORTGAGE,12000,36,6.72
ea,3.0,GA,MORTGAGE,6000,36,15.05
home health aid cna,8.0,NY,MORTGAGE,10000,36,19.03
server deliver manager,1.0,FL,MORTGAGE,30700,60,13.58
,,FL,MORTGAGE,10000,36,13.58
owner,10.0,MD,MORTGAGE,12600,60,13.59
teacher,5.0,CA,MORTGAGE,13200,36,9.93
sr facility services managers,6.0,KS,MORTGAGE,12175,36,10.91
assistant director,3.0,GA,MORTGAGE,35000,60,9.44
certified pharmacy tech,10.0,TX,MORTGAGE,5000,36,7.97
exec asst fo ceo,10.0,NY,RENT,12000,60,24.85
technical writer iii,10.0,SC,MORTGAGE,20000,36,6.08
linkages site coordinator,8.0,MD,RENT,40000,36,9.44
tire building ,7.0,OK,MORTGAGE,6000,36,5.32
audio visual technician,1.0,NY,RENT,11200,60,15.04
owner,5.0,CA,RENT,10500,36,6.72
loader/unloader,1.0,GA,RENT,7000,36,11.98
stewart,10.0,SC,MORTGAGE,12000,36,19.03
senior programmer,10.0,NJ,RENT,12000,36,13.59
pipe welder,2.0,TX,MORTGAGE,30000,60,10.9
engeneer,10.0,AZ,MORTGAGE,40000,60,13.58
data entry,10.0,TX,MORTGAGE,5400,36,15.04
electrician,1.0,OR,RENT,5000,36,7.34
sales,1.0,NY,OWN,25000,36,13.58
lead automation engineer,6.0,WA,OWN,30000,60,21.45
staff rn,2.0,MD,RENT,15000,36,6.07
 coordinator ,1.0,CA,RENT,5400,36,10.42
physicians secretary ,3.0,MN,RENT,6000,36,6.71
lead teacher,0.0,VA,MORTGAGE,4000,36,7.34
sales,4.0,NY,RENT,17500,60,11.99
,,LA,RENT,5000,36,6.72
escrow officer,2.0,TX,OWN,16000,36,13.58
tcr,5.0,KY,MORTGAGE,12000,60,17.09
pharmacist ,10.0,IL,OWN,40000,36,6.07
unit manager,10.0,IL,MORTGAGE,8000,36,7.96
deputy,6.0,MO,MORTGAGE,14400,36,9.92
maint tech ,9.0,AZ,MORTGAGE,35000,36,16.01
programs servicing specialist ii,10.0,AZ,RENT,12000,36,11.99
manager of it,9.0,MN,MORTGAGE,6000,36,10.9
manufacturing associate,2.0,KY,MORTGAGE,18000,36,12.62
executive assistant ,5.0,AZ,RENT,16000,36,16.02
operator,9.0,NJ,OWN,3600,36,6.72
accounts payable team leader,10.0,MD,OWN,11000,36,14.08
rn,1.0,NJ,MORTGAGE,17000,36,6.07
management ,2.0,PA,MORTGAGE,10000,36,9.43
fraud investigator ,10.0,VA,OWN,4300,36,9.93
event manager,10.0,WA,MORTGAGE,14000,36,10.42
welder,7.0,FL,MORTGAGE,4000,36,12.62
dental technician ,3.0,NY,RENT,12450,36,19.03
general manager asset services,0.0,TX,MORTGAGE,35000,36,10.41
library tech,10.0,LA,MORTGAGE,3000,36,7.97
hr coordinator,6.0,PA,MORTGAGE,4800,36,16.02
marketing strategist,10.0,OR,MORTGAGE,20000,36,11.98
secretary,5.0,TN,OWN,20000,36,10.91
denatl hygienist,10.0,TX,MORTGAGE,16000,60,14.07
branch service manager,10.0,CA,MORTGAGE,39000,60,12.62
registered nurse,2.0,MO,RENT,25000,60,11.99
engineer,4.0,VA,OWN,19000,36,7.96
correctional officer,1.0,MD,RENT,6000,36,15.05
,,NH,MORTGAGE,16000,60,12.61
foreman,10.0,CA,RENT,14000,60,12.61
store manager,9.0,FL,MORTGAGE,4800,36,13.59
finance director,4.0,OR,MORTGAGE,32025,36,11.98
engineer,6.0,VA,MORTGAGE,10000,36,13.58
electrician,10.0,NY,RENT,17000,36,15.05
designer,2.0,AZ,MORTGAGE,20000,60,10.9
,,NC,RENT,3500,36,6.08
manager,6.0,OH,MORTGAGE,17000,36,5.32
server,1.0,AL,RENT,10000,36,16.02
process laboratory technician,5.0,LA,MORTGAGE,25000,36,9.92
educator,10.0,CA,MORTGAGE,4800,36,6.72
director of account management ,10.0,FL,MORTGAGE,12000,36,9.43
foreman,10.0,CT,OWN,35000,36,19.03
bartender,4.0,MI,RENT,3200,36,18.45
president,10.0,CA,RENT,12000,36,5.32
clerk,10.0,NY,OWN,5000,36,15.05
executive assistant,1.0,CA,RENT,1000,36,9.44
helicopter mechanic,2.0,WA,RENT,33750,36,20.39
bh care planner,10.0,WA,RENT,14400,60,16.01
,,IL,RENT,30400,36,20.39
material handler ,3.0,NJ,MORTGAGE,24000,60,13.59
vp of operations,2.0,DC,MORTGAGE,16800,60,16.02
equipment coordinator,10.0,AK,MORTGAGE,1800,36,17.47
mechanical integration leaded,0.0,IL,MORTGAGE,36000,60,16.02
general manager,10.0,OR,RENT,10000,36,20.0
registered nurse,7.0,NY,MORTGAGE,16000,60,10.9
operations supervisor ,0.0,OH,MORTGAGE,30000,60,26.77
chief operating officer,5.0,CA,RENT,24000,36,9.93
senior server engineer,4.0,TX,MORTGAGE,28000,60,6.08
assistant director,1.0,OR,MORTGAGE,15000,60,14.08
,,MO,RENT,5000,36,13.59
radiology,10.0,MI,MORTGAGE,16000,36,6.08
area distributor manager,3.0,CA,MORTGAGE,35000,36,6.07
district supervisor,10.0,OH,MORTGAGE,30150,36,12.62
,,AR,MORTGAGE,15000,60,12.62
software engineer,2.0,TX,RENT,18000,36,11.98
rn,2.0,GA,MORTGAGE,26000,36,13.59
human resources manager,2.0,TX,RENT,10000,36,23.88
police officer,10.0,IL,MORTGAGE,16800,60,13.59
registered nurse,1.0,RI,RENT,9800,36,10.9
medical receptionist,10.0,VA,RENT,16000,36,9.93
cashier supervisor,2.0,OH,RENT,10000,36,6.08
,,CA,OWN,10000,36,10.41
corrections officer,3.0,MN,MORTGAGE,2500,36,12.62
background investigator,5.0,NE,MORTGAGE,8000,36,13.58
print operator,3.0,TX,RENT,10000,36,13.58
project manager,4.0,MD,RENT,40000,36,7.97
smt,3.0,NM,OWN,12000,36,10.42
deputy of public works,10.0,KS,RENT,17000,60,9.43
funeral director,10.0,IL,MORTGAGE,12000,36,10.91
assistant professor,8.0,TX,OWN,11000,36,19.03
,,CO,MORTGAGE,2500,36,9.44
manager,6.0,NY,RENT,40000,36,5.31
customer service,10.0,MI,MORTGAGE,31000,60,7.35
clinic manager ,0.0,TX,RENT,16000,60,26.77
operations processing specialist ,10.0,VA,MORTGAGE,16000,60,25.82
contracting officer,2.0,WA,RENT,16000,36,10.91
highway foreman,10.0,PA,RENT,30000,36,18.06
brand manager,5.0,FL,RENT,15000,36,14.08
store manager,7.0,PA,MORTGAGE,22000,60,12.61
ultrasound tech,1.0,TX,MORTGAGE,30000,60,9.44
,,NJ,RENT,10000,60,21.85
truck driver,5.0,WA,RENT,6000,36,7.96
registered nurse,10.0,VA,MORTGAGE,13500,36,10.42
shop forman,10.0,NC,MORTGAGE,10000,36,16.02
rotary operator,3.0,MI,MORTGAGE,13000,36,12.61
analyst,10.0,CA,RENT,6000,36,13.59
cdl a driver warehouse tech,3.0,WI,RENT,19200,60,20.0
building manager,10.0,NY,RENT,35000,60,20.0
network engineer,10.0,CA,MORTGAGE,20225,36,15.04
medical laboratory technologist,0.0,NY,RENT,14000,60,18.45
accounting assistant,4.0,NY,RENT,8000,36,16.01
account manager,9.0,CA,MORTGAGE,10000,60,12.61
manager,10.0,NY,OWN,10000,60,23.88
admissions counselor,8.0,HI,RENT,25000,36,15.04
dsr,9.0,OK,MORTGAGE,6000,36,6.72
"sr, mgr, global network services",10.0,FL,MORTGAGE,32000,36,10.41
driver,10.0,WI,MORTGAGE,32000,60,14.07
,,NC,MORTGAGE,5000,36,6.07
lvn care coordinator,4.0,CA,RENT,20000,60,13.58
sales manager,4.0,MA,MORTGAGE,6000,36,5.31
assistant general  manager ,4.0,FL,RENT,16000,60,17.09
"svp, americas",3.0,CA,MORTGAGE,12000,36,10.41
electrician,4.0,VA,MORTGAGE,30000,36,7.34
,,TX,MORTGAGE,27800,36,9.43
parole agent iii,10.0,CA,MORTGAGE,35000,60,17.09
president,10.0,FL,OWN,35000,36,11.99
it specialist,7.0,MD,RENT,12000,36,5.31
quality control manager,10.0,IL,OWN,25000,36,14.08
fixed assets analyst,2.0,WI,OWN,20000,60,28.72
supervisor,10.0,IN,MORTGAGE,10000,36,5.31
machine operator,10.0,WI,MORTGAGE,15000,60,13.58
consultant,9.0,OR,RENT,20000,36,7.96
facilities operations manager,5.0,TX,RENT,10000,36,6.08
cook,5.0,CA,RENT,35000,36,10.42
help desk manager,3.0,MN,RENT,20000,60,9.44
administration,2.0,CO,OWN,12000,36,10.91
massage therapoist,10.0,NV,MORTGAGE,1200,36,15.04
 district manager,10.0,OK,MORTGAGE,15000,36,5.32
program manager,4.0,NC,MORTGAGE,19600,60,9.44
cashier/salesperson,0.0,RI,MORTGAGE,7000,36,14.07
sales director international ,2.0,FL,OWN,25000,36,6.72
assistant principal,10.0,FL,MORTGAGE,5000,36,15.05
financial director,10.0,CT,OWN,20000,36,14.08
sales,10.0,FL,MORTGAGE,7000,36,9.44
administrstor,9.0,OH,MORTGAGE,10000,36,20.39
senior analyst,4.0,GA,MORTGAGE,30000,60,9.44
medical laboratory scientist,4.0,OH,OWN,16000,36,5.32
network infrastructure engineer,2.0,NJ,RENT,12000,36,6.72
actuary,1.0,MA,MORTGAGE,35000,60,17.47
director technology,6.0,CA,RENT,40000,36,10.41
area sales director,0.0,NC,OWN,16000,60,9.43
administrative assistant,10.0,MD,MORTGAGE,3000,36,9.43
office manager,10.0,AL,MORTGAGE,25000,60,10.42
pastor,8.0,FL,RENT,6500,36,10.9
supervisor,5.0,TX,MORTGAGE,40000,60,9.93
water inspector,10.0,NJ,MORTGAGE,7000,36,13.59
president,7.0,VA,MORTGAGE,20000,36,9.93
senior lender specialist ii,1.0,FL,RENT,12000,36,10.42
service manager,10.0,FL,OWN,16000,36,16.01
,,CA,RENT,13000,60,10.42
director of operations,10.0,IN,MORTGAGE,12000,36,7.96
vice president ocean services,1.0,IL,MORTGAGE,10000,60,9.44
accounting clerk iv,10.0,IL,RENT,20000,60,10.91
owner/director,7.0,NJ,MORTGAGE,30000,60,6.07
mechanical engineer,5.0,UT,MORTGAGE,25000,36,7.35
operating engineer,3.0,MI,MORTGAGE,30000,60,9.43
dir strategic accounts,2.0,CA,MORTGAGE,35000,36,9.44
rca professional,6.0,MN,RENT,30000,60,13.59
assistant director,5.0,FL,RENT,5000,36,6.08
surgeon ,0.0,CA,RENT,13000,36,5.32
manager,10.0,MN,MORTGAGE,12000,36,5.32
lab manager/ dental assistant,10.0,TN,RENT,10000,36,16.02
sergeant first class,10.0,CO,MORTGAGE,10000,36,20.0
family assistance analyst ii,4.0,NM,RENT,10000,60,9.44
admin aid,10.0,NY,MORTGAGE,11500,60,12.61
,,CA,OWN,20000,60,30.79
manager,5.0,AZ,MORTGAGE,15000,60,18.45
project manager,10.0,GA,MORTGAGE,40000,60,14.07
assistant principal ,10.0,NY,RENT,10000,60,15.04
oral maxillofacial surgeon ,9.0,NY,MORTGAGE,40000,60,9.44
education contractor,10.0,CA,MORTGAGE,35000,36,6.07
engineer,5.0,ID,MORTGAGE,40000,36,5.31
district manager ,10.0,TN,RENT,15000,60,9.43
program manager,5.0,CA,RENT,18000,36,6.72
shipping and receiving ,10.0,MI,MORTGAGE,12000,36,10.41
sourcing manager,10.0,TX,MORTGAGE,20000,60,21.45
brand ambassador/promotional model,2.0,FL,RENT,6000,36,9.92
sen network analyst,10.0,AZ,MORTGAGE,30000,60,10.9
operations manager,5.0,WA,RENT,5000,36,10.9
security offier,5.0,FL,RENT,5000,36,13.59
manager ,5.0,MI,OWN,17000,36,10.41
letter carrier,10.0,TX,MORTGAGE,22000,36,6.71
manager,5.0,NY,RENT,24000,60,15.04
rn,5.0,ME,RENT,20000,36,18.06
manager,8.0,IL,MORTGAGE,34000,36,9.44
business system technician,10.0,FL,RENT,15000,36,7.35
director ,2.0,CO,MORTGAGE,15000,36,7.97
forklift operator,10.0,OR,RENT,10000,60,18.45
court officer,10.0,NY,MORTGAGE,28000,36,15.05
leasing professional,1.0,TX,RENT,5000,36,9.44
dealer,1.0,NV,OWN,10000,36,12.62
administrative assistant,9.0,SC,OWN,5000,36,6.07
and assist,10.0,NY,MORTGAGE,20000,36,6.07
registered nurse,0.0,LA,MORTGAGE,40000,60,7.34
technichian,8.0,TN,MORTGAGE,5000,36,13.58
nurse ,3.0,SC,MORTGAGE,17000,36,6.07
rn case manager,4.0,SC,MORTGAGE,16000,60,18.45
registered nurse ,5.0,MD,MORTGAGE,32000,36,9.93
teaching assistant,10.0,VA,MORTGAGE,25000,60,23.88
marine mechanic,6.0,WA,MORTGAGE,6500,36,10.42
field sales manager,5.0,GA,RENT,24000,60,9.93
teacher,10.0,FL,RENT,24000,60,13.58
clinical engineer,4.0,MA,RENT,25450,36,7.97
maintenance,2.0,NJ,RENT,18000,36,9.93
csr,1.0,KY,RENT,3200,36,18.06
fulfillment associate,3.0,FL,RENT,11250,36,10.41
vp,8.0,OH,MORTGAGE,19200,60,11.98
saws,1.0,OK,RENT,9000,36,7.97
ditect support proffessional,7.0,MD,RENT,18000,36,6.07
,,WI,OWN,4000,36,10.42
category coordinator,3.0,FL,RENT,10000,60,11.98
rn,8.0,MD,MORTGAGE,20000,36,13.59
customer manager,3.0,MA,MORTGAGE,6025,36,15.05
college store coordinator,10.0,UT,MORTGAGE,6400,36,14.07
,,CA,MORTGAGE,35000,60,10.42
supervisor,9.0,CA,RENT,13000,36,10.91
care nurse ,7.0,FL,RENT,24000,36,6.72
claims adjuster,3.0,NC,MORTGAGE,20000,60,17.47
consultant,0.0,VA,RENT,1000,36,7.97
lead clerk,10.0,CA,RENT,5600,36,7.96
flight coordinator,10.0,TN,MORTGAGE,35000,60,9.44
systems administrator,1.0,CO,RENT,17500,60,15.05
machine operator,1.0,NH,RENT,15000,36,13.58
store manager,10.0,CA,MORTGAGE,4800,36,9.44
account manager,0.0,NM,MORTGAGE,25000,60,30.65
field supervision director insurance,10.0,MO,MORTGAGE,36000,36,9.43
vp of east coast operations ,0.0,IL,MORTGAGE,1650,36,7.35
process engineer,3.0,NY,MORTGAGE,30000,36,6.07
deputy clerk,10.0,SC,MORTGAGE,15000,60,17.09
enterprise support manager,7.0,CA,RENT,25000,36,7.35
case manager,7.0,MO,MORTGAGE,17500,60,10.42
financial reporting manager,8.0,MD,RENT,20000,60,17.09
deputy director,10.0,NY,MORTGAGE,24000,36,21.45
forklift operator,5.0,IN,MORTGAGE,3500,36,11.99
registered nurse,5.0,KS,RENT,6000,36,7.34
tech 3 ,10.0,IN,MORTGAGE,39275,60,13.59
mio specialist,10.0,NY,RENT,20000,60,17.09
senior billing specialist,10.0,NE,MORTGAGE,16000,60,17.09
supply management specialist,10.0,VA,OWN,8000,36,18.06
tso,2.0,CA,RENT,4800,36,14.08
,,TX,OWN,32000,60,20.39
bakery,3.0,MO,OWN,20000,36,7.96
sales,2.0,TX,MORTGAGE,40000,36,11.99
reservations agent ,3.0,CA,RENT,5000,36,7.97
