emp_title,emp_length,state,homeownership,annual_income,verified_income,debt_to_income,annual_income_joint,verification_income_joint,debt_to_income_joint,delinq_2y,months_since_last_delinq,earliest_credit_line,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,num_collections_last_12m,num_historical_failed_to_pay,months_since_90d_late,current_accounts_delinq,total_collection_amount_ever,current_installment_accounts,accounts_opened_24m,months_since_last_credit_inquiry,num_satisfactory_accounts,num_accounts_120d_past_due,num_accounts_30d_past_due,num_active_debit_accounts,total_debit_limit,num_total_cc_accounts,num_open_cc_accounts,num_cc_carrying_balance,num_mort_accounts,account_never_delinq_percent,tax_liens,public_record_bankrupt,loan_purpose,application_type,loan_amount,term,interest_rate,installment,grade,sub_grade,issue_month,loan_status,initial_listing_status,disbursement_method,balance,paid_total,paid_principal,paid_interest,paid_late_fees
associate professor,5.0,TX,RENT,173180.0,Not Verified,30.61,,,,0,,2002,6,28,17,471131,121748,0,0,,0,0,5,7,10.0,17,0.0,0,8,42800,15,11,11,1,100.0,0,0,debt_consolidation,individual,30000,36,20.0,1114.91,D,D4,Feb-2018,Current,fractional,Cash,27478.18,4426.31,2521.82,1904.49,0.0
flight attendant,10.0,NJ,RENT,105000.0,Not Verified,19.82,,,,0,,2010,0,8,5,75070,46965,0,0,,0,0,2,3,,5,0.0,0,2,28500,2,2,2,0,100.0,0,0,debt_consolidation,individual,16000,36,7.96,501.09,A,A5,Mar-2018,Current,fractional,Cash,14807.25,1496.19,1192.75,303.44,0.0
program manager,10.0,MD,MORTGAGE,166000.0,Verified,19.81,,,,1,18.0,1986,1,26,11,630504,105235,0,0,,0,0,1,3,8.0,11,0.0,0,4,49200,13,7,5,8,96.2,0,0,credit_card,individual,40000,36,10.91,1307.85,B,B4,Feb-2018,Current,whole,Cash,36171.45,5207.16,3828.55,1378.61,0.0
western regional manager,10.0,WA,MORTGAGE,180000.0,Verified,43.62,294000.0,,29.52,1,9.0,2003,3,39,18,733755,348361,0,0,,0,1047,6,6,8.0,18,0.0,0,4,51300,17,11,6,3,97.4,0,0,debt_consolidation,joint,40000,60,15.04,952.44,C,C4,Mar-2018,Current,whole,DirectPay,39092.13,1838.04,907.87,930.17,0.0
finance manager,6.0,CA,RENT,168000.0,Verified,13.4,,,,0,34.0,2008,6,23,13,132274,65530,0,0,,0,0,3,14,3.0,13,0.0,0,5,60700,16,10,7,0,95.7,0,0,credit_card,individual,12000,36,10.91,392.36,B,B4,Jan-2018,Current,whole,DirectPay,10557.71,1947.25,1442.29,504.96,0.0
attorney,4.0,IN,MORTGAGE,120000.0,Source Verified,26.24,,,,1,,1994,1,20,11,504331,202033,0,0,22.0,0,6008,5,1,8.0,11,,0,5,39700,8,5,5,3,100.0,0,0,credit_card,individual,35000,36,7.97,1096.29,A,A5,Mar-2018,Current,whole,Cash,32391.26,3257.88,2608.74,649.14,0.0
engineering project manager,4.0,TX,MORTGAGE,105000.0,Not Verified,12.98,,,,0,,2004,1,29,7,400735,60027,0,0,,0,0,2,4,12.0,7,0.0,0,1,41000,15,4,2,1,100.0,0,0,debt_consolidation,individual,20000,36,5.32,602.3,A,A1,Jan-2018,Current,whole,Cash,17408.96,2987.86,2591.04,396.82,0.0
registered nurse ,10.0,NY,OWN,120000.0,Source Verified,18.46,,,,0,,1999,1,20,12,673142,94405,0,0,,0,0,2,3,7.0,12,0.0,0,7,83900,13,9,8,1,100.0,0,0,house,individual,10000,36,5.31,301.11,A,A1,Mar-2018,Current,whole,Cash,9226.01,900.38,773.99,126.39,0.0
senior transportation surveyor,10.0,CA,MORTGAGE,120000.0,Source Verified,21.4,,,,0,,2002,0,22,11,478518,115079,0,0,,0,0,3,3,,11,0.0,0,3,25600,13,7,6,3,100.0,0,0,other,individual,5000,36,6.72,153.75,A,A3,Feb-2018,Current,whole,Cash,4492.76,613.13,507.24,105.89,0.0
engineering specialist,10.0,MD,MORTGAGE,133000.0,Source Verified,20.86,,,,0,,2006,4,26,9,369146,102943,0,0,,0,0,3,4,3.0,9,0.0,0,0,7200,13,4,0,2,100.0,0,0,other,individual,32000,60,15.05,762.12,C,C4,Jan-2018,Fully Paid,whole,Cash,0.0,32215.8880508159,32000.0,215.89,0.0
analyst general,10.0,TX,MORTGAGE,152000.0,Verified,10.0,,,,0,,2003,3,60,28,570815,78507,0,0,,0,0,3,6,2.0,28,0.0,0,7,92300,36,23,9,4,100.0,0,0,home_improvement,individual,40000,36,5.32,1204.6,A,A1,Jan-2018,Current,whole,Cash,35863.53,4806.58,4136.47,670.11,0.0
president,10.0,FL,MORTGAGE,288000.0,Verified,33.54,,,,0,,1986,5,43,22,1036893,547708,0,0,,0,0,8,3,0.0,22,0.0,0,6,67200,19,13,12,4,100.0,0,0,home_improvement,individual,17150,36,6.72,527.35,A,A3,Jan-2018,Current,whole,Cash,14969.16,2623.94,2180.84,443.1,0.0
senior developer,10.0,VA,MORTGAGE,130000.0,Not Verified,17.28,,,,0,31.0,1997,2,28,10,800792,234410,0,0,40.0,0,0,2,5,7.0,10,0.0,0,3,22800,17,6,5,3,75.0,0,0,debt_consolidation,individual,10000,36,7.97,313.23,A,A5,Feb-2018,Current,whole,Cash,9254.62,952.98,745.38,207.6,0.0
president,10.0,WA,MORTGAGE,156000.0,Source Verified,29.99,,,,0,,1988,2,48,23,710297,170966,0,0,,0,0,5,4,8.0,23,0.0,0,10,218100,24,17,10,4,100.0,0,0,debt_consolidation,individual,30000,36,6.08,913.75,A,A2,Jan-2018,Current,whole,Cash,26152.46,4558.62,3847.54,711.08,0.0
it technical lead,8.0,FL,MORTGAGE,112000.0,Verified,11.7,,,,0,,2007,2,10,9,386405,44682,0,0,,0,0,1,3,8.0,9,0.0,0,4,43300,7,7,4,1,100.0,0,0,debt_consolidation,individual,30000,60,26.77,911.95,E,E5,Feb-2018,Current,whole,Cash,28996.23,3558.57,1003.77,2554.8,0.0
svp client management,10.0,CA,RENT,289000.0,Source Verified,13.22,,,,0,43.0,1996,0,30,10,125664,107113,0,0,,0,0,0,2,,10,0.0,0,4,37800,24,9,6,0,100.0,0,0,credit_card,individual,35000,60,17.47,878.71,D,D1,Mar-2018,Current,whole,Cash,33876.29,2602.16,1123.71,1478.45,0.0
foreman,10.0,NY,MORTGAGE,105000.0,Not Verified,21.97,,,,0,,2005,3,16,7,472489,55195,0,0,,0,0,4,2,11.0,7,0.0,0,1,10000,5,2,2,3,100.0,0,0,debt_consolidation,individual,13650,60,12.62,307.94,C,C1,Jan-2018,Current,whole,Cash,12810.59,1530.13,839.41,690.72,0.0
cyber warfare,8.0,CO,MORTGAGE,110000.0,Source Verified,16.31,,,,0,65.0,2003,1,19,6,478157,73780,0,0,72.0,0,320,2,5,12.0,6,0.0,0,3,19500,8,3,3,3,84.2,0,0,debt_consolidation,individual,20000,36,9.43,640.01,B,B1,Mar-2018,Current,whole,Cash,18540.05,1930.51,1459.95,470.56,0.0
estimator,10.0,TX,MORTGAGE,108000.0,Verified,28.65,,,,0,,1999,4,49,14,369729,110667,0,0,,0,0,3,5,0.0,14,0.0,0,7,69800,14,9,7,1,100.0,0,0,debt_consolidation,individual,35725,36,10.91,1168.07,B,B4,Jan-2018,Fully Paid,fractional,Cash,0.0,36586.0743467931,35725.0,861.07,0.0
electrical engineer,10.0,MA,MORTGAGE,108000.0,Source Verified,8.2,,,,1,17.0,1997,0,28,15,148080,23545,0,0,48.0,0,0,0,2,15.0,15,0.0,0,5,30000,19,13,8,3,82.1,0,0,debt_consolidation,individual,25000,60,10.42,536.36,B,B3,Feb-2018,Current,whole,Cash,23706.16,2130.97,1293.84,837.13,0.0
sales,4.0,IN,MORTGAGE,140000.0,Not Verified,14.46,,,,0,,1986,5,25,8,249437,78134,0,0,,0,116,2,2,4.0,8,0.0,0,2,34000,14,5,3,3,100.0,0,0,debt_consolidation,individual,25000,36,6.71,768.62,A,A3,Mar-2018,Current,fractional,Cash,23738.83,1518.6,1261.17,257.43,0.0
accounting manager,10.0,MA,MORTGAGE,150000.0,Source Verified,9.86,,,,0,24.0,1992,1,39,10,801603,32279,0,0,,0,0,1,6,6.0,10,0.0,0,2,22500,28,8,2,5,97.4,0,0,credit_card,individual,20000,60,7.34,399.25,A,A4,Mar-2018,Current,whole,Cash,19164.16,1189.59,835.84,353.75,0.0
manager ge,2.0,VA,MORTGAGE,190000.0,Source Verified,11.53,,,,1,9.0,1996,2,27,9,588731,89939,0,0,56.0,0,0,4,3,9.0,9,0.0,0,3,48000,9,4,3,9,92.6,0,0,credit_card,individual,15000,60,11.98,333.52,B,B5,Mar-2018,Current,whole,DirectPay,14630.63,647.07,369.37,277.7,0.0
assistant district attorney ,10.0,NY,MORTGAGE,156000.0,Not Verified,8.04,,,,1,7.0,1993,4,34,16,403241,14531,0,0,62.0,0,0,2,4,1.0,16,0.0,0,7,31300,21,13,7,2,79.4,0,0,debt_consolidation,individual,12000,36,7.96,375.82,A,A5,Mar-2018,Current,whole,Cash,11105.43,1122.15,894.57,227.58,0.0
mechanic,10.0,CA,MORTGAGE,128000.0,Source Verified,33.76,,,,0,79.0,1989,6,21,12,307227,230948,0,1,,0,0,9,7,5.0,12,0.0,0,1,9500,6,3,2,0,95.2,0,1,other,individual,36000,60,10.9,780.94,B,B4,Mar-2018,Current,whole,Cash,34625.77,2321.02,1374.23,946.79,0.0
plumber,0.0,WA,MORTGAGE,110000.0,Not Verified,6.09,,,,0,44.0,2008,4,21,8,401114,14708,0,0,,0,0,1,7,1.0,8,0.0,0,2,13000,16,6,3,1,85.0,0,0,other,individual,10000,36,15.04,346.85,C,C4,Mar-2018,Current,fractional,Cash,9327.09,1032.19,672.91,359.28,0.0
technology team leader,5.0,MI,MORTGAGE,106000.0,Not Verified,15.66,,,,0,,1997,4,30,15,70318,30383,0,1,,0,0,2,3,0.0,15,0.0,0,4,18900,19,12,7,0,100.0,0,1,debt_consolidation,individual,11000,36,7.35,341.42,A,A4,Jan-2018,Current,whole,Cash,9612.89,1702.61,1387.11,315.5,0.0
project control,7.0,ND,MORTGAGE,130000.0,Source Verified,14.76,,,,0,,2006,4,32,6,352465,70005,1,0,,0,817,2,4,6.0,6,0.0,0,2,21000,13,2,2,3,100.0,0,0,home_improvement,individual,30000,36,9.43,960.01,B,B1,Mar-2018,Current,whole,Cash,27810.09,2809.31,2189.91,619.4,0.0
program coordinator ,1.0,FL,MORTGAGE,122000.0,Source Verified,24.01,,,,0,,1993,1,30,13,498195,73112,0,0,,0,0,2,7,12.0,13,0.0,0,6,46700,21,10,10,3,100.0,0,0,debt_consolidation,individual,18000,36,11.98,597.69,B,B5,Mar-2018,Current,whole,Cash,16733.47,1769.11,1266.53,502.58,0.0
sr account executive,9.0,CA,MORTGAGE,140000.0,Verified,11.16,,,,0,,1992,0,20,12,464400,51379,0,0,,0,0,1,2,18.0,12,0.0,0,5,96800,12,10,7,2,100.0,0,0,credit_card,individual,36000,36,6.07,1096.34,A,A2,Mar-2018,Current,whole,Cash,33243.38,3343.65,2756.62,587.03,0.0
assistant financial controller,3.0,NY,MORTGAGE,170000.0,Not Verified,13.18,,,,0,,1998,2,21,12,668215,47324,0,0,,0,0,2,3,9.0,12,0.0,0,5,42100,14,8,7,1,100.0,0,0,credit_card,individual,19000,36,6.71,584.15,A,A3,Feb-2018,Current,whole,Cash,17072.27,2329.52,1927.73,401.79,0.0
salesman,10.0,CA,RENT,120000.0,Source Verified,12.49,,,,0,39.0,2003,3,18,8,59912,34835,0,0,,0,0,2,1,1.0,8,0.0,0,4,29200,9,6,4,0,88.9,0,0,other,individual,35000,36,14.08,1197.58,C,C3,Feb-2018,Current,whole,Cash,31796.51,4762.94,3203.49,1559.45,0.0
software product manager,10.0,MN,RENT,101000.0,Source Verified,17.0,,,,0,,2003,3,18,12,85463,55785,0,0,,0,0,2,4,5.0,12,0.0,0,7,39200,12,10,9,1,100.0,0,0,major_purchase,individual,16000,36,10.41,519.37,B,B3,Mar-2018,Current,fractional,Cash,14848.36,1548.86,1151.64,397.22,0.0
superintendent ,10.0,TX,OWN,200000.0,Not Verified,17.15,,,,0,,2012,0,17,12,155780,118084,0,0,,0,0,4,3,14.0,12,0.0,0,4,15800,10,8,6,0,100.0,0,0,credit_card,individual,10000,36,5.32,301.15,A,A1,Feb-2018,Current,whole,DirectPay,8965.88,1201.64,1034.12,167.52,0.0
plant manager ,4.0,IN,MORTGAGE,160000.0,Source Verified,6.1,,,,0,26.0,1997,6,12,5,389787,23494,0,0,26.0,0,0,2,3,8.0,5,0.0,0,0,5300,4,1,0,4,66.7,0,0,debt_consolidation,individual,8000,36,7.35,248.3,A,A4,Jan-2018,Current,whole,Cash,6991.22,1238.23,1008.78,229.45,0.0
account manager,10.0,OR,MORTGAGE,115000.0,Not Verified,25.42,126000.0,Not Verified,25.17,0,,1998,0,26,11,409420,86450,0,0,,0,0,5,1,20.0,11,0.0,0,3,41700,11,5,3,6,100.0,0,0,debt_consolidation,joint,15000,36,5.32,451.73,A,A1,Feb-2018,Current,whole,Cash,13448.8,1802.49,1551.2,251.29,0.0
rn,10.0,WA,RENT,121000.0,Not Verified,11.82,,,,1,16.0,1999,15,24,11,71509,61062,0,0,50.0,0,1008,3,5,0.0,11,0.0,0,3,12900,9,8,6,1,83.3,0,0,credit_card,individual,10000,36,11.98,332.05,B,B5,Mar-2018,Current,whole,DirectPay,9296.37,989.49,703.63,285.86,0.0
coo,5.0,KS,MORTGAGE,115000.0,Source Verified,9.52,,,,1,16.0,1998,0,24,5,253159,12099,0,0,,0,960,1,1,20.0,5,0.0,0,3,12500,13,3,3,5,95.8,0,0,debt_consolidation,individual,40000,36,9.43,1280.01,B,B1,Mar-2018,Current,whole,Cash,37080.14,3819.07,2919.86,899.21,0.0
teacher,3.0,CA,RENT,172000.0,Not Verified,4.35,,,,0,,2003,2,20,11,57023,27040,0,1,,0,0,3,2,2.0,11,0.0,0,2,15900,12,8,6,0,100.0,0,1,debt_consolidation,individual,15000,60,20.0,397.41,D,D4,Jan-2018,Late (31-120 days),whole,Cash,14702.72,761.49,297.28,464.21,0.0
safety coordinator,10.0,TX,OWN,150000.0,Not Verified,6.9,,,,1,11.0,2003,0,14,6,49390,36122,0,0,,0,0,1,1,22.0,6,0.0,0,3,9500,9,5,4,0,92.9,0,0,home_improvement,individual,20000,36,10.42,649.3,B,B3,Jan-2018,Current,whole,Cash,17582.01,3223.34,2417.99,805.35,0.0
software architect,8.0,CA,MORTGAGE,280000.0,Source Verified,7.35,,,,0,,2000,2,30,12,836703,33648,0,0,,0,0,1,4,11.0,12,0.0,0,1,131800,18,9,2,1,100.0,0,0,medical,individual,40000,36,5.31,1204.42,A,A1,Mar-2018,Fully Paid,fractional,Cash,0.0,40210.8845555165,40000.0,210.88,0.0
law enforcement officer,3.0,FL,RENT,101000.0,Not Verified,9.04,,,,0,,2003,0,28,16,75190,9578,0,0,,0,0,3,3,,16,0.0,0,10,48400,23,13,12,0,100.0,0,0,other,individual,7000,36,5.32,210.81,A,A1,Jan-2018,Current,whole,Cash,5589.48,1557.02,1410.52,146.5,0.0
pharmacist,10.0,CO,MORTGAGE,110000.0,Not Verified,20.64,,,,0,,1996,0,32,14,340916,61777,0,0,,0,0,3,1,,14,0.0,0,5,102500,22,10,6,4,100.0,0,0,credit_card,individual,15000,36,6.07,456.81,A,A2,Mar-2018,Current,whole,Cash,13851.4,1365.37,1148.6,216.77,0.0
officer,10.0,CA,MORTGAGE,117000.0,Verified,25.45,151400.0,Source Verified,25.08,0,79.0,2005,1,28,11,503804,62293,0,0,,0,51,2,3,12.0,11,0.0,0,2,13500,15,8,4,3,96.3,0,0,debt_consolidation,joint,40000,60,14.07,932.19,C,C3,Mar-2018,Current,whole,Cash,39068.19,1801.85,931.81,870.04,0.0
battery commander,10.0,OK,RENT,102000.0,Source Verified,39.73,,,,0,,2005,1,49,22,414693,125128,0,0,,0,0,5,6,6.0,22,0.0,0,11,79900,29,15,12,6,100.0,0,0,debt_consolidation,individual,25000,36,23.88,979.25,E,E2,Jan-2018,Current,fractional,Cash,22493.45,4829.92,2506.55,2323.37,0.0
"vice president, regulatory affairs ",4.0,MA,MORTGAGE,250000.0,Not Verified,25.24,,,,2,4.0,1995,1,29,20,659143,186238,0,0,,0,0,6,2,1.0,20,0.0,0,4,43500,12,9,8,7,89.3,0,0,home_improvement,individual,25000,36,14.08,855.42,C,C3,Jan-2018,Current,whole,Cash,22122.84,4237.99,2877.16,1360.83,0.0
manager,10.0,NJ,MORTGAGE,123000.0,Source Verified,17.46,,,,0,,2002,1,19,12,536093,82806,1,0,,0,807,3,7,6.0,12,0.0,0,4,29700,10,8,8,2,100.0,0,0,debt_consolidation,individual,15000,36,11.99,498.15,B,B5,Feb-2018,Current,whole,Cash,13585.88,1972.62,1414.12,558.5,0.0
solution architect senior manager,10.0,FL,MORTGAGE,192000.0,Source Verified,13.19,252000.0,Source Verified,11.22,1,23.0,2002,2,41,15,612460,56436,0,0,23.0,0,0,4,7,1.0,15,0.0,0,4,6400,28,9,5,5,80.5,0,0,debt_consolidation,joint,20000,60,15.05,476.33,C,C4,Feb-2018,Current,whole,Cash,19080.9,1913.69,919.1,994.59,0.0
vice president,10.0,CA,MORTGAGE,130000.0,Source Verified,5.98,,,,0,,2002,5,13,7,33481,17326,0,1,,0,0,1,3,0.0,6,0.0,0,0,5000,7,5,1,1,100.0,0,1,home_improvement,individual,6000,36,9.44,192.03,B,B1,Jan-2018,Current,whole,Cash,5264.37,953.86,735.63,218.23,0.0
president,10.0,CA,MORTGAGE,180000.0,Not Verified,19.87,,,,0,,1992,11,21,14,604097,92012,0,1,,0,0,4,0,1.0,14,0.0,0,4,25100,11,9,8,1,100.0,0,1,other,individual,12000,60,13.59,276.68,C,C2,Jan-2018,Current,whole,Cash,11282.33,1374.34,717.67,656.67,0.0
server engineer,10.0,NY,MORTGAGE,105000.0,Verified,32.69,,,,0,47.0,2001,2,26,18,429542,99071,0,0,47.0,0,0,5,6,4.0,18,0.0,0,11,49400,16,12,11,3,80.8,0,0,debt_consolidation,individual,25000,60,30.79,821.01,G,G1,Jan-2018,Fully Paid,whole,Cash,0.0,25640.841844908,25000.0,640.84,0.0
project manager,0.0,FL,MORTGAGE,130000.0,Not Verified,17.28,,,,0,32.0,2002,5,26,20,229391,52011,0,0,37.0,0,292,4,11,1.0,20,0.0,0,6,22500,16,14,9,2,88.5,0,0,debt_consolidation,individual,25000,60,15.05,595.41,C,C4,Jan-2018,Current,whole,Cash,23554.86,2956.15,1445.14,1511.01,0.0
administrator,10.0,CA,RENT,105000.0,Not Verified,13.51,,,,0,73.0,2002,1,32,13,77937,46535,0,0,,0,0,5,5,9.0,13,0.0,0,1,17700,18,8,3,0,93.5,0,0,credit_card,individual,8500,36,7.35,263.82,A,A4,Jan-2018,Current,whole,Cash,7428.16,1312.16,1071.84,240.32,0.0
sr it consultant,2.0,WA,MORTGAGE,133000.0,Source Verified,20.1,,,,0,,1997,8,32,10,591587,148791,0,0,,0,0,4,6,0.0,10,0.0,0,1,54400,8,5,1,3,100.0,0,0,debt_consolidation,individual,24000,60,10.42,514.91,B,B3,Jan-2018,Current,whole,Cash,22757.9,2045.75,1242.1,803.65,0.0
assistant to the treasurer,6.0,FL,RENT,152000.0,Source Verified,10.34,,,,0,,2006,1,19,13,149600,67930,0,0,,0,0,2,5,2.0,13,0.0,0,5,86500,14,11,5,0,100.0,0,0,debt_consolidation,individual,40000,60,12.61,902.16,C,C1,Mar-2018,Current,whole,Cash,38539.28,2650.44,1460.72,1189.72,0.0
vice president of sales ,0.0,NC,MORTGAGE,180000.0,Source Verified,12.03,,,,0,,1996,3,55,23,413060,93495,0,1,,0,0,13,14,4.0,23,0.0,0,5,37500,17,9,7,1,100.0,0,1,debt_consolidation,individual,10000,36,19.03,366.72,D,D3,Feb-2018,Late (31-120 days),fractional,Cash,9580.43,722.87,419.57,303.3,0.0
senior salesforce developer/architect,2.0,CT,RENT,185000.0,Not Verified,4.75,,,,0,75.0,2007,4,16,8,298154,24491,0,0,75.0,0,0,1,4,6.0,8,0.0,0,6,49800,8,6,6,1,93.3,0,0,debt_consolidation,individual,35000,60,9.92,742.27,B,B2,Mar-2018,Current,whole,Cash,33629.93,2188.23,1370.07,818.16,0.0
teacher,10.0,CA,MORTGAGE,155555.0,Source Verified,20.15,,,,0,,2004,6,31,15,452139,102432,0,1,,0,0,6,13,7.0,15,0.0,0,1,19200,10,8,3,3,100.0,0,1,debt_consolidation,individual,15000,36,10.41,486.91,B,B3,Mar-2018,Current,whole,Cash,13920.33,1452.05,1079.67,372.38,0.0
teacher,10.0,IL,MORTGAGE,110000.0,Not Verified,5.66,,,,0,,2003,5,37,19,341794,22281,0,1,,0,0,1,8,8.0,19,0.0,0,4,13500,25,17,8,3,100.0,0,1,debt_consolidation,individual,24000,60,10.9,520.63,B,B4,Mar-2018,Current,whole,Cash,23391.99,1026.73,608.01,418.72,0.0
executive general manager,0.0,NC,MORTGAGE,300000.0,Verified,22.74,,,,0,42.0,1986,2,80,13,871950,360136,0,0,42.0,0,0,5,8,2.0,13,0.0,0,4,78000,16,7,5,6,98.8,0,0,debt_consolidation,individual,36000,36,9.44,1152.18,B,B1,Feb-2018,Current,whole,Cash,32482.85,4589.84,3517.15,1072.69,0.0
sr sales manager,2.0,CT,MORTGAGE,300000.0,Source Verified,5.83,,,,0,,2005,1,24,7,613801,51766,0,0,,0,0,1,5,4.0,7,,0,3,17010,16,4,3,4,100.0,0,0,credit_card,individual,35000,36,10.41,1136.11,B,B3,Mar-2018,Current,whole,Cash,32480.82,3388.09,2519.18,868.91,0.0
contracts manager,4.0,MD,RENT,102900.0,Source Verified,14.72,,,,0,,1998,0,30,15,146750,81937,0,0,,0,0,2,6,22.0,15,0.0,0,3,28600,16,11,6,0,100.0,0,0,debt_consolidation,individual,6000,36,6.08,182.75,A,A2,Feb-2018,Current,whole,Cash,5385.95,726.95,614.05,112.9,0.0
firefighter/paramedic,10.0,CA,MORTGAGE,206000.0,Source Verified,25.38,,,,0,35.0,1994,8,58,28,603664,203490,0,0,79.0,0,0,4,8,4.0,28,0.0,0,7,47700,39,23,16,6,96.5,0,0,debt_consolidation,individual,35000,36,7.97,1096.29,A,A5,Feb-2018,Current,whole,Cash,31510.1,4369.66,3489.9,879.76,0.0
mob technician,10.0,TX,OWN,120000.0,Not Verified,12.79,,,,0,40.0,1997,0,16,7,70100,39992,0,0,40.0,0,0,2,2,13.0,7,0.0,0,1,9000,8,5,4,0,100.0,0,0,other,individual,10000,36,14.07,342.12,C,C3,Mar-2018,Current,whole,Cash,9317.45,1010.73,682.55,328.18,0.0
director of sales,3.0,CO,RENT,140000.0,Verified,36.66,,,,0,,2001,1,44,24,247849,154494,0,0,,0,0,4,4,3.0,24,0.0,0,11,109200,24,18,12,0,100.0,0,0,credit_card,individual,24000,36,10.42,779.16,B,B3,Mar-2018,Current,whole,Cash,22272.8,2358.33,1727.2,631.13,0.0
chef,10.0,VA,RENT,108000.0,Not Verified,11.96,,,,0,,1992,1,6,3,52000,29768,0,0,,0,0,1,1,10.0,3,0.0,0,1,22000,4,2,2,0,100.0,0,0,debt_consolidation,individual,40000,36,9.44,1280.2,B,B1,Feb-2018,Current,whole,Cash,36092.05,5099.82,3907.95,1191.87,0.0
sales,7.0,CO,MORTGAGE,418000.0,Verified,13.73,418000.0,Not Verified,16.05,1,19.0,2003,3,38,18,767442,274530,0,0,19.0,0,0,9,3,7.0,18,0.0,0,5,16100,9,8,7,2,97.3,0,0,home_improvement,joint,27825,60,10.42,596.97,B,B3,Jan-2018,Current,whole,Cash,26017.09,2968.74,1807.91,1160.83,0.0
welder,10.0,MN,MORTGAGE,110000.0,Verified,23.82,155000.0,Verified,21.42,0,,1999,2,28,9,270861,106187,0,0,,0,0,3,2,5.0,9,0.0,0,1,12400,13,5,3,4,100.0,0,0,other,joint,24000,60,10.42,514.91,B,B3,Feb-2018,Current,whole,Cash,22757.9,2045.75,1242.1,803.65,0.0
operations engineer,3.0,LA,OWN,135000.0,Source Verified,4.2,,,,0,,2009,3,17,6,80153,33506,0,0,,0,0,4,4,4.0,6,0.0,0,1,27000,3,2,1,0,100.0,0,0,debt_consolidation,individual,40000,36,5.32,1204.6,A,A1,Jan-2018,Current,whole,Cash,32289.74,8499.36,7710.26,789.1,0.0
vp & counsel,3.0,MD,OWN,281125.0,Verified,7.15,,,,0,,1979,0,26,11,1627460,98339,0,0,,0,156,2,4,15.0,11,0.0,0,5,148000,14,8,5,1,100.0,0,0,credit_card,individual,35000,36,6.72,1076.23,A,A3,Jan-2018,Fully Paid,fractional,Cash,0.0,35233.3892612721,35000.0,233.39,0.0
certified registered nurse anesthetist ,4.0,LA,MORTGAGE,175000.0,Verified,28.27,,,,0,44.0,1986,3,45,32,644236,256631,0,0,78.0,0,0,4,15,1.0,32,0.0,0,8,121900,28,26,14,4,91.1,0,0,debt_consolidation,individual,40000,36,7.97,1252.91,A,A5,Feb-2018,Current,fractional,Cash,36011.51,4993.93,3988.49,1005.44,0.0
eeg technologist,3.0,MA,MORTGAGE,240000.0,Source Verified,4.57,,,,0,32.0,1995,3,71,18,613296,177400,0,0,73.0,0,95,5,14,3.0,18,0.0,0,3,19000,43,12,6,3,86.6,0,0,debt_consolidation,individual,15000,60,13.59,345.85,C,C2,Jan-2018,Current,whole,Cash,14099.96,1744.9,900.04,844.86,0.0
sas consultant,2.0,NC,RENT,130000.0,Not Verified,6.25,,,,0,,2008,1,26,16,113791,34603,0,0,,0,0,1,13,2.0,16,0.0,0,3,50500,23,15,8,0,100.0,0,0,other,individual,5000,36,7.34,155.17,A,A4,Mar-2018,Current,fractional,Cash,4623.95,463.47,376.05,87.42,0.0
manager,3.0,CA,MORTGAGE,128500.0,Source Verified,24.41,,,,0,,1997,2,14,12,678900,184723,0,0,,0,0,2,5,7.0,12,0.0,0,6,99900,9,9,8,1,100.0,0,0,debt_consolidation,individual,18000,36,9.93,580.22,B,B2,Jan-2018,Current,fractional,Cash,15807.67,2891.17,2192.33,698.84,0.0
boss,10.0,OH,MORTGAGE,105000.0,Source Verified,17.68,,,,0,72.0,2001,5,31,9,302657,54050,0,0,72.0,0,159,3,7,1.0,9,0.0,0,4,20500,7,5,4,5,83.9,0,0,credit_card,individual,28000,60,17.09,697.23,D,D1,Feb-2018,Current,whole,Cash,26780.4,2762.34,1219.6,1542.74,0.0
supervisor ,8.0,FL,MORTGAGE,110000.0,Source Verified,23.49,,,,1,11.0,2013,1,16,9,176015,88514,0,0,11.0,0,0,4,2,1.0,9,0.0,0,1,2000,5,4,4,1,92.3,0,0,debt_consolidation,individual,20000,60,21.45,546.15,D,D5,Feb-2018,Current,whole,Cash,19224.93,2160.77,775.07,1385.7,0.0
distribution mechanic,8.0,CT,MORTGAGE,127000.0,Verified,10.66,,,,1,19.0,2005,5,22,13,289690,36336,0,0,28.0,0,2528,1,5,1.0,13,0.0,0,5,10500,15,11,7,2,71.4,0,0,debt_consolidation,individual,30000,60,23.88,860.96,E,E2,Jan-2018,Current,fractional,Cash,28627.35,4341.72,1372.65,2969.07,0.0
"sr director, risk management",6.0,CA,RENT,175000.0,Source Verified,18.33,,,,0,64.0,1992,0,35,16,166863,98811,0,0,,0,0,1,8,21.0,16,0.0,0,5,115300,19,15,5,4,97.1,0,0,credit_card,individual,35000,60,19.42,916.03,D,D3,Feb-2018,Current,whole,Cash,33567.23,3588.6,1432.77,2155.83,0.0
