job_title,salary_estimate,midpoint_salary_estimate,job_description,company_name,location,size,type_of_ownership,industry
Business Intelligence and Data Sciences Analyst,$50K-$93K (Glassdoor est.),71500,"Function: Continuous Improvement

Nearest Major Market: Philadelphia","TE Connectivity
3.6","Berwyn, PA",10000+ employees,Company - Public,Electrical & Electronic Manufacturing
Operations data analyst,$77K-$132K (Glassdoor est.),104500,"Sky IT Group is a leader in Big Data collection and analytics for the fashion wholesale and retail industries. We are seeking bright, creative and detail-oriented college graduates to join our rapidly expanding team in New York City. The Business Intelligence division of SKY I.T. Group arms our clients with SKYPAD, a cloud-based analytics tool that empowers users to take on the challenges of the highly competitive fashion retail market. We attract the best talent in the marketplace as we harbor a fast-moving environment where learning, thinking outside the box and collaboration are always encouraged. This is a unique opportunity to join an exciting company, make your mark on a growing business, and learn from smart and interesting colleagues.

Join Sky IT to have the opportunity to become a Data Analyst, BI-Developer or a Business Analyst. Get up to one year of on-the-job training with full-time employment benefits.

During the training period candidates will be exposed to Big Data technologies, Data Visualization tools, Data Analytics and learn the vertical industry by performing statistical modelling, data validation and investigation. Candidate will be required to perform daily validation tasks, variance analysis, QA testing (functional and performance) with a focus on meeting the business objectives on time within a rapidly changing work environment.

Sky will offer one of several career paths within Sky as well as any appropriate certifications:
Data Analyst
Business Analyst
Q.V. Developer
ETL Developer
Requirements
Bachelor's Degree from an accredited college in computer engineering or information technology or operations research or industrial engineering
Develop, maintain, and support business intelligence backend data, including data warehousing, data Extracting, Transformation and Load (ETL), and data reporting
Collaborate with Business Development teams to gather business requirements, identify problems, design and ensure successful implementation of chosen solutions
Collect & organize data from variety of sources of different formats and create parsers to extract required information from these unstructured and unformatted source files
Build automated flows for these multi-source client POS data in Data Migrator to transform and load operational data into different database tables
Monitor and ensure data quality throughout the complex processes by performing root cause analysis and fixing any outstanding issues
Perform Statistical Analysis on client’s operational data to identify trends or relationships among variables which influence retail sales and recommend solutions to optimize sales
Develop predictive models to forecast Sales based on available historical data and correlated variables
Create summary reports for Business management to help make their decisions
Ability to drill down to the smallest detail and provide analysis
Good verbal and written communication skills
Must be able to work full-time
The biggest driver to being successful in this role is: ATTENTION TO DETAIL.

You must enjoy working with the details in order to like this job.",Sky I.T. Group (Sky Business Intelligence Team),"New York, NY",-1,-1,-1
Data Analyst,$41K-$78K (Glassdoor est.),59500,"Job Description
Job description
Interpret data, analyze results using statistical techniques and provide ongoing reports
Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality
Acquire data from primary or secondary data sources and maintain databases/data systems
Identify, analyze, and interpret trends or patterns in complex data sets
Filter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems
Work with management to prioritize business and information needs
Locate and define new process improvement opportunities
Requirements
Proven work experience as a data analyst or business data analyst
Technical expertise regarding data models, database design development, data mining and segmentation techniques
Strong knowledge of and experience with reporting packages (Business Objects etc), databases (SQL etc), programming (XML, Javascript, or ETL frameworks)
Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, SPSS, SAS etc)
Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy
Adept at queries, report writing and presenting findings
Master's in Computer Science or Engineering Management or Project Management or Information Systems/Technology (Preferred)
Powered by JazzHR

HIJi8kPaeK","Staffigo Technical Services, LLC
5.0","New York, NY",51 to 200 employees,Company - Private,IT Services
Senior Data Analyst,$57K-$103K (Glassdoor est.),80000,"Position Description
POSITION TITLE: SENIOR DATA ANALYST
(Official classification title: Senior Management Analyst)
SALARY: $6,137.00 - $8,497.00 Monthly
$73,664.00 - $101,964.00 Annually

WORK LOCATION: Downtown Los Angeles

OPENING DATE: 07/9/2020

CLOSING DATE: 07/27/2020 at 11:59 PM PST
EXAM NUMBER: R9721D

TYPE OF RECRUITMENT: Open Competitive Job Opportunity
Essential Employees in Public Service
Continuation of court operations is considered essential for our constitutional form of government for providing due process and protecting the public. All Court employees are considered essential employees because they are needed to deliver the statutorily mandated, time-sensitive and emergency services in times of local, state and national emergencies.

ABOUT THE COURT
The largest trial court in the nation, the Los Angeles Superior Court (LASC) has more than 580 judicial officers holding tens of thousands of hearings each day, on more than 1 million new cases each year, supported by more than 4,500 court staff. The Court faces a wide variety of business intelligence (BI) needs: performance assessment, resource deployment, fiscal analysis, and others. In the midst of a significant improvement of its IT infrastructure, LASC is embarking on a campaign to significantly improve its BI capacity to exploit this data-rich environment.

ABOUT THE POSITION
To meet these needs, LASC is in need of senior data analyst with the skills and abilities to handle all stages of the data science task: extract, test and load; data wrangling; dashboard and report creation to help end users solve business problems. In addition, provides support on complex projects that require gathering data, analyzing information, identifying relevant facts, and presenting information and findings in appropriate formats, prepares charts, graphs memoranda, or other ad hoc reports for Court leadership, to convey operational, organizational, statistical, or financial information, and performance.

The ideal candidate loves to learn, as the Court environment is a rich mix of complex and challenging legal and administrative concepts, and as the Court faces a wide range of business challenges.

LASC uses the Microsoft stack and thus a strong candidate will have demonstrated skills with using Power BI, DAX, Visual BASIC, and/or Excel. Knowledge of SQL is plus, as is hands-on experience with statistical packages such as R, Stata, SPSS, SAS, and others.

For a detailed job description, please click here. Please note, the requirements in the job description may vary from the requirements in the bulletin. Applicants must meet the requirements stated in this bulletin.

TELEWORK OPPORTUNITIES
This position is eligible for partial telework following an initial training period.

FOCUS ON EMPLOYEE SAFETY AND WELLBEING
The Court has implemented various programs that aim to achieve a balance between protecting the health of our employees and delivering statutorily mandated essential services. This includes offering new remote technology options for court users that promote social distancing by both reducing the number of people appearing in person and allowing for more telework opportunities for employees.

SELECTION REQUIREMENTS:
To qualify, you must meet the following selection requirements at time of filing:

Graduation from an accredited four-year college or university with a major in statistics, mathematics, economics, public or business administration or a closely related field, with coursework in research methods, statistics, data analytics, management science, or other similar fields; -AND- Three years of recent progressively responsible experience conducting statistical studies, including researching, analyzing, gathering, transforming and cleansing data, to support business decision making.

Substitution: A Master's Degree in one of the above fields with coursework in research methods, statistics, data analytics, management science, or other similar fields will be accepted as substitution for two years of experience.
Note: Credit for experience is given based on a 40-hour workweek. Part-time experience is credited on a part-time ratio, i.e., working 20 hours per week for two months equals one month of experience. No additional credit is given for overtime.
Licenses; Certificates; Special Requirements:
A valid California Class C driver's license or the ability to utilize an alternative method of transportation when needed to carry out job-related essential functions.
EDUCATION/COURSEWORK VERIFICATION: A legible copy of your college transcript(s) (unofficial are acceptable) with the degree posted from the college or university must be submitted within 10 business days from application submission.

Documentation may be submitted as follows:
As an attachment to your online application. Attachment(s) should be in Microsoft Word or PDF format and should not exceed 10 MB;
As an email attachment to Bernadette Flores at bflores1@lacourt.org. Please indicate in the subject line ""Senior Data Analyst - Degree Verification (Your Name).""

For a list of acceptable accredited institutions or international universities, please visit http://ope.ed.gov/accreditation, www.chea.org/search, or http://whed.net/home.php.

Foreign studies must be evaluated by an academic credential evaluation agency and deemed to be equivalent to degrees from the United States. For a list of acceptable evaluation agencies, please visit www.naces.org or http://aice-eval.org/members/. Foreign studies submitted without acceptable evaluation will be rejected.

DESIRABLE QUALIFICATIONS:
The ideal candidate will possess the following desirable qualifications:
Experience conducting research and/or statistical studies to support business decision making
Demonstrated experience using Power BI, DAX, Visual BASIC, and/or Excel
Knowledge of SQL concepts
Hands-on experience with statistical packages such as R, Stata, SPSS, SAS, and others
Excellent planning and organizational skills, including project management and facilitation
Strong analytical, problem solving, and organizational skills
Excellent oral and written communication skills
Knowledge of Superior Court of California organization, programs, assignments, customer service, policies, goals, and objectives
EXAMINATION INFORMATION:
Part I: Qualifying evaluation of education, training and experience based upon submitted application materials and supplemental questionnaire.

Part II: An online examination, weighted 100%, covering the areas listed below. No person may complete this assessment more than once every 12 months.
WORK STYLES ASSESSMENT - Covering deductive reasoning, professional potential, achievement, independence, influence, confidence, optimism, and reliability.
COGNITIVE SKILL - Covering the ability to evaluate arguments, analyze scenarios, draw logical conclusions, and ability to make correct decisions or inferences from numerical or statistical data.
APPLICATION AND FILING INFORMATION:
Applications may only be filed online. To learn how to apply online, please access the Online Employment Application Guide. Los Angeles Superior Court reserves the right to verify all submitted documentation prior to appointment. The Court will only consider completed applications submitted, along with the required documents, and will reject incomplete applications. A resume will not substitute for a fully completed employment application. To facilitate the full and proper consideration of your work experience, clearly specify what professional experience meets the required job qualifications. When listing your work experience, please specify the beginning and end dates for each job you held and describe your experience for each position.

Please provide a current and accurate e-mail address for the Court to communicate with you about this job opportunity. Human Resources staff will notify all applicants of their application status via e-mail. We recommend that you add info@governmentjobs.com to your SAFE SENDERS list to avoid the notification being filtered as spam mail.

Los Angeles Superior Court is an equal opportunity employer. Applicants with disabilities who require reasonable accommodations to participate in the recruitment process can contact the email address provided below. For additional employment information, please click here.

Questions regarding this posting may be e-mailed to bflores1@lacourt.org.
WHAT TO EXPECT NEXT:
We will notify you of the outcome after each step of the recruitment process has been completed. Applicants who successfully pass each (and all) examination part(s) will be placed on an eligible list good for one year. Other vacancies may be filled using this list.

Exam #R9721D
SENIOR DATA ANALYST
(Official classification title: Senior Management Analyst)

Applications may be submitted online at www.lacourt.org
OR via the HR computer kiosk at
Los Angeles Superior Court
Human Resources Administration
111 N. Hill Street, Room 203
Los Angeles, CA 90012

MegaFlex Benefit Plan - Benefits may be purchased using a tax free monthly benefits allowance of 14.5% - 17% of the employee's monthly salary or $1,200.00, whichever is greater. The percentage amount received is based on employee's years of service. If the monthly cost of the benefits selected is less than the monthly allowance, the employee receives the difference as additional taxable pay. Medical, dental, disability, life and AD&D insurance, annual leave, and health and dependent care spending accounts are available in MegaFlex. For further information click here.

Savings Plan (401k) - Optional tax-deferred income plan that includes a County match up to 4% of employee's salary.

Deferred Compensation Plan (457) - Optional tax-deferred income plan that includes a County match of up to 4% of employee's salary.

Leave Time - Instead of traditional sick and vacation leave, employees earn 10 days of annual leave per year and may buy up to 20 additional days of annual leave.

Holidays - 13 days per year.

Bereavement leave.

Retirement Plan - A retirement plan is provided to full-time employees.

If the candidate is a ""new member"" of the County's defined benefit plan (LACERA) on or after January 1, 2013, that person's pension will be limited under the Public Employees Pension Reform Act (PEPRA). For these purposes, a ""new member"" is someone who first becomes a member of LACERA on or after January 1, 2013 - that is, someone first employed by the County on or after December 1, 2012 - unless she or he established reciprocity with another public retirement system in which she or he was a member before January 1, 2013. For further information, visit lacera.com.

The Commuter Benefit Plan (CBP) - Allows employees to pay for eligible public transit expenses using pre-tax dollars (up to IRS limits).

The information contained herein concerning the benefit package available to incumbents in this classification is based on an employee's appointment to a full-time, permanent position in the Court service in this class. The specific benefit package any individual employee may receive is subject to change based on that employee's particular employment status and payroll title.

01

INSTRUCTIONS: The information you provide on this online supplemental questionnaire will be evaluated to determine your eligibility to participate in the next phase of the examination process. All questions must be answered. You are encouraged to respond as specifically and as completely as possible. Attaching or referencing a resume will not be considered responsive. Incomplete responses, false statements, omission of a material fact and partial information can result in disqualification.
Please check the box to indicate you have read and understood the instructions.

02

EDUCATION REQUIREMENT: This position requires graduation from an accredited college or university with a major in public administration, public policy, business administration, administration of justice, political science other closely related field. Which of the following best describes your highest level of education completed?
BACHELOR'S degree from an accredited four-year college or university with a major in public administration, public policy, business administration, administration of justice, political science other closely related field.
MASTER'S degree from an accredited college or university in one of the above stated fields.
DOCTORATE from an accredited college or university in one of the above stated fields.
CLOSELY-RELATED FIELD with coursework in research methods, statistics, data analytics, management science, or other similar fields.
None of the above

03

If the degree identified in question #2 is a ""closely related field"", please provide your major and a listing of the related coursework. If not applicable indicate N/A.

As a reminder, ALL applicants must attach a copy of their transcripts.

04

Describe a project you carried out to provide analysis supporting a business decision:
Briefly describe the business issue at stake;
The nature of the data used and its sources;
What tools were used to extract, transform, and load the data;
What tools were used for data analytics; and
What conclusions were drawn from the data.
Do not include any confidential or proprietary information in your description.

05

Los Angeles Superior Court uses the Microsoft stack and thus a strong candidate will have demonstrated skills with using the following statistical and/or computer software. Please check the area(s) in which you have verifiable experience:
a. Data Analysis Expressions (DAX)
b. Excel
c. Power BI
d. SPSS statistical software
e. SQL database and database querying languages
f. Stata statistical software
g. R statistical computing language
h. Visual BASIC
i. Other statistical software
j. None of the above

06

For each of the areas checked above, describe your verifiable experience. If not applicable, indicate NA. Use the following format:
Name of the employer(s)
Name of Supervisor
Supervisor telephone number
Describe the SPECIFIC DUTIES and LEVEL OF RESPONSIBILITY. Limit response to no more than 250 words.

* Required Question","Superior Court of California County of Los Angeles
3.6","Los Angeles, CA",1001 to 5000 employees,Government,Municipal Governments
Data Analyst (College & Foundation Reporting),$99K-$178K (Glassdoor est.),138500,"About KIPP Bay Area Public SchoolsKIPP is a non-profit network of 224 college-preparatory, public charter schools across the country educating early childhood, elementary, middle, and high school students. KIPP schools are united by a common mission, a commitment to excellence, and a belief that if we help children develop the academic and character strengths they need for college and choice-filled lives, they will be able to build a better tomorrow for themselves, for their communities, and for us all.There are currently 15 KIPP schools across the Bay Area educating nearly 6,000 students in East Palo Alto, Oakland, San Francisco, San Lorenzo, San Jose, and Redwood City and supporting over 3,000 alumni around the country.About the Data & Evaluation TeamWe want every layer of our organization -- from our Executive Team to our teachers -- to feel empowered by data, and ready to learn and grow from it so that we can best support our students, families, and staff. To do this, we aim to make actionable insight readily available, drive regional evaluation to identify and share best practices, improve processes and role sustainability, and to inspire introspection among our teammates.Position OverviewWe are looking for a Data Analyst to join our relentlessly curious, entrepreneurial regional Data and Evaluation team. They will focus on a portfolio of work that supports college matriculation, persistence, and alignment with KIPP Foundation reporting metrics. We are looking for a data evangelist, who not only enjoys diving deep into data sets and uncovering key insights but also is excited by building data literacy and championing a data-driven culture. The ideal candidate will be an analytical, resourceful problem-solver and a skilled communicator. This is a highly collaborative position, as the Data Analyst will work cross-functionally with several teams at our Regional Support Office in Oakland (BART-accessible), and will report to the Data Manager.Essential FunctionsWith support from the KIPP Through College (KTC) and Data and Evaluation team, the Data Analyst will be responsible for:Alumni Data Management, Stewardship, & SupportSupport administration of our region's Alumni Database (Salesforce), with a focus on advisor support and data quality and accuracySupport and train KIPP Through College advisors and managers in maintaining current and accurate student dataLead the development, maintenance, and adoption of all KTC Data Analysis ToolsWork with regional teams to align data definitions, methodologies, and data sources for all topics pertaining to high school enrollment, graduation, college matriculation, and persistenceDevelop and maintain clear documentation to ensure consistency of data definitions and procedures around data collection and reportingData Visualization, Reporting & EvaluationServe as the KIPP Through College Data Champion for all evaluation and reporting needsDevelop a deep expertise in designing, building and maintaining our tool portfolio using Tableau and custom SQL reporting within our data warehouseServe as KTC's data liaison to the KIPP Foundation, ensuring that the region is on track to meet and exceed data reporting goalsDevelop and share analysis on KIPP Through College programming and goals, supporting KIPP Through College leadership with progress monitoringAnalyze, prepare and report annual attainment results for the department and regional leadershipUse Tableau, Google Apps, Microsoft SQL Server, and other tools to customize, create and maintain powerful, sustainable and user-friendly dashboards and tools to support data-driven decision-makingComplete ad hoc data analysis requests in a timely and efficient mannerBuild Capacity and Drive Data Literacy:Develop training resources for KTC advisors and leaders on how to effectively use data dashboardsHelp KTC team troubleshoot data reporting issues in Salesforce and Naviance in a way that builds their internal capacity, developing training resources for the most common issuesPartner with KTC team on data-related projects and initiatives including meeting weekly with KTC leadership to understand project priorities and support needs.RequirementsExperience & skills:Experience analyzing large datasets with high accuracy and attention to detail; experience with educational data a plusHighly resourceful, with demonstrated ability to learn new data platforms/systems quickly and independentlyStrategic thinker, with the ability to think critically about issues and solutionsGoal-oriented, with strong initiative and creative problem-solving skillsFlexible, with strong ability to multitask and prioritizeProven track record of teamwork and proactive collaboration with othersOutstanding written and oral communication skillsBachelor's Degree with a minimum of three years' work experienceTechnical skills:Intermediate expertise with Microsoft ExcelExperience with SQL for database management and reporting (preferred)Experience with data visualization tools (Tableau preferred)Culture & fit:A deep belief that all students can achieve at the highest levels, a passion for social justice and equity for all, and a demonstrated commitment to improving K-12 public educationCommitment to working with educationally underserved student and families from historically marginalized communitiesPositivity, optimism and a solutions-oriented mindsetUnquestioned integrity and commitment to KIPP Bay Area Public School's mission and valuesHighly motivated to deeply understand and tackle complicated issues and datasetsSelf-starter, comfortable in a fast-paced, entrepreneurial environmentPractice healthy communication and embrace productive conflict to form trusting relationships, to collaborate, offer feedback and guidance, and to motivate and inspire others.Sense of humorCompensationKIPP offers a competitive salary as well as a comprehensive benefits package including medical, dental, vision, and transportation benefits.",Albany Charter School Network,"Oakland, CA",-1,-1,-1
Sr Data Analyst,$41K-$78K (Glassdoor est.),59500,"Position location: Lake Mary, FLorBlue Bell, PA

Position Summary
The Senior Data Analyst drives pharma client analytics solutions for United BioSource Corporation (UBC), supporting many of the world’s largest pharmaceutical companies to improve patient lives, support drug safety programs, and help manage new Clinical studies.

Responsibilities

· Build and continually improve Tableau dashboard offerings for business partners.

· Monitor and analyze business performance, providing targeted dashboards and recommendations for operational improvement.

· Serve as Subject Matter Expert (SME) for business data, systems and processes under team’s area of support.

· Write and edit SQL code to ensure data is pulled optimally.

Required Qualifications

· BS in a technical field (BI, Analytics, Data Science, IS, Computer Science, etc).

· Advanced SQL skills.

· Advanced dashboard design skills, including 2+ years of experience with a dashboard toolset (Tableau, Qlik, Domo, Birst, etc).

· 2+ years of data analysis experience.

· Excellent communication and presentation ability.

· Excellent project management skills.

· Highly self-motivated.

Preferred Qualifications

· MS in a Data-related field (BI, Analytics, Data Science, etc).

· Expert-level SQL skills

· Expert-level Tableau skills.

· Advanced R skills.

· Healthcare (ideally pharma) experience.

·Minimal travel is required (

#LI-SF1","United BioSource
2.3","Blue Bell, PA",1001 to 5000 employees,Other Organization,Biotech & Pharmaceuticals
Business Analyst/PM/Data Analyst - Investment Bank,$84K-$90K (Glassdoor est.),87000,"Our client, a leading global financial services company, has approximately 200 million customer accounts and does business in more than 140 countries. They provide consumers, corporations, governments and institutions with financial products and services, including consumer banking and credit, corporate and investment banking, securities brokerage, transaction services, and wealth management.

Financial Capital Markets Business Analyst, with Program Management and Data Analysis skills
Seeking a talented Business Analyst (Financial Capital Markets domain) with Program Management and Data Analysis skills for a suite of Regulatory Reporting Applications.

Key Responsibilities
-Business Analysis
-Analyzing Requirements
-Documenting Functional Specifications
-Documenting Test cases
-Data Analysis
-Process Re-engineering
-Project Status Tracking & Reporting
-Facilitate project planning
-Track projects, and report status
-Identify/Track Scope changes, Issues, Risks & Dependencies
-Administrative
-Facilitating team meetings and team building activities
-Maintaining Team websites (wiki, jive, etc.)
Qualifications
-8+ years of experience as a Business Analyst in Financial Capital Markets
-In-depth knowledge of OTC Derivatives Trade Lifecycle for atleast 2 of the asset classes (Rates, FX, Equity, Commodities)
-Excellent Data Analysis skills using one or more the tools preferred: MS Excel, Textpad, MS Access, SQL (Oracle/Postgres/MYSQL/other), Qlikview, Tableau
-Experience in Regulatory Reporting projects is a plus
-CFA certification will be a plus
-Project management Skills
-Project Planning, Status tracking/reporting, Project Financials management
-Scrum/Kanban
-Advanced skills in administering JIRA and Confluence will be a plus
-PMP certification will be a plus
-Ability to comprehend/digest complex information and summarize in a clear/concise fashion
-Advanced skills in creating slick status reports and dashboards using Excel / Powerpoint
-Advanced Excel skills including writing macros
-Qlikview or Tableau skills will be a plus
-Ability to manage and communicate with senior executive stakeholders
-Experience in communicating with Internal Audit, Compliance, or Regulators will be a plus



Please see our complete list of jobs at:
www.rmscorp.com","RMS Computer
3.0","Jersey City, NJ",201 to 500 employees,Company - Private,Computer Hardware & Software
"Operations Analyst, Data Governance",$42K-$66K (Glassdoor est.),54000,"The Job

Warner Bros. Content Technology and Operations seeks an Operations Analyst, Data Governance for our Data Governance team, The role will be responsible for metadata collation, localization, and delivery for Feature and Television titles for digital distribution to clients. The role will be responsible for performing complex business systems analysis for enterprise master data applications across Warner Bros., Warner Media, and external data sources. The Data Operations Analyst is expected to work in a fast-paced environment, multitask, and oversee operations and special projects. The candidate must be willing to adapt to a constantly changing environment and ensure guidelines and business processes are followed. Additional areas of responsibility include understanding, identifying and documenting business process and functional requirements. This role will work closely with the Intellectual Property Review (IPR) and Data Governance Operations teams on daily operations, troubleshooting, and special projects such as system enhancements.

The Daily
Manage and provide clear direction to outsourced team members, onsite and offshore, to ensure on time delivery and accuracy of metadata, as required by the business.
Coordinate and communicate effectively with clients and internal teams for troubleshooting and ad-hoc requests. Requires daily management of releases and coordinate with internal stakeholders from marketing, publicity to in-territory and local client requirements for metadata from broadcast to home entertainment windows.
Lead meetings, oversee and lead operations and spearhead special projects to support the digital supply chain.
Review, organize and analyze data sets across WB studio systems to provide actionable insights to improve system implementations, data flows and/or operational processes.
Propose improvements and efficiencies to workflows. Ability to analyze data, create reports, and document processes/workflow diagrams. Problem-solve and determine root causes in order to propose changes to existing process or procedures.
Develop business scenarios and use cases for UAT and QA/QC testing for integration and implementation in metadata management system.
The Essentials
Bachelor’s Degree required.
Experience in operations and project management.
Experience with master data management discipline preferred.
Knowledge of project management, team collaboration and documentation software, e.g. Atlassian Jira, Confluence, Trello, Slack, etc. a plus.
Proficient in MS Office Suite (Excel, PowerPoint, SharePoint, etc).
Deep analytical skills who can ask relevant questions at the right time and provide multiple solution approaches to problems and challenges related to architecture, technical and non-technical issues.
Demonstrate initiative to stay abreast of technology advancements.
Ability to apply technology in solving business technical problems.
Experience in leading process change and implementing best practices associated with system implementation, replacement, and major enhancement.
Strong written and verbal communication skills and the ability to multi-task many projects.
Strong ability to communicate with technical and non-technical audiences.
Strong organization skills, project management skills a plus.
Must be an advocate for quality.
Must be detail-oriented.
Must be comfortable working with a reasonable level of autonomy after instruction.
Must be able to communicate effectively and tactfully with all levels of personnel, both in person and on the telephone.
Must be able to facilitate business process discussions with groups of 5-10 people.
Must be able to organize and schedule work effectively.
Must be able to work well under time constraints.
Must be able to handle multiple tasks with changing priorities, communicating changes in scope and schedule to all parties concerned.
Must be service-oriented.
Must be able to maintain confidentiality.
Requisition #
177719BR

Area of Interest
Technology/Information Technology

Industry
Corporate Media

Location
United States - California - Burbank

Position Type
Full Time

Business Unit
WB Technology

Business Unit Overview
WB Technology combines Warner Bros.’ industry-leading technologists and disciplines to ensure global alignment with business strategy and accelerated delivery of innovative technology solutions studio- and industry-wide. From pre-production through archiving, the WBT organization will provide critical business and technology intelligence and services to all Studio business units. WBT manages the Studio’s enterprise systems and solutions, emerging platforms, information security, consumer intelligence, content mastering and delivery, and more.

Company Overview
WarnerMedia is a leading media and entertainment company that creates and distributes premium and popular content from a diverse array of talented storytellers and journalists to global audiences through its consumer brands including: HBO, HBO Now, HBO Max, Warner Bros., TNT, TBS, truTV, CNN, DC Entertainment, New Line, Cartoon Network, Adult Swim, Turner Classic Movies and others.

Warner Media, LLC and its subsidiaries are equal opportunity employers. Qualified candidates will receive consideration for employment without regard to race, color, religion, national origin, gender, sexual orientation, gender identity or expression, age, mental or physical disability, and genetic information, marital status, citizenship status, military status, protected veteran status or any other category protected by law.","WB Technology
5.0","Burbank, CA",Unknown,Company - Private,-1
"Data Reporting Analyst, BI",$42K-$76K (Glassdoor est.),59000,"Job Description
About Pushnami

Delivering more than 10 billion messages per month across browser-based push notifications, mobile app push notifications, and email, Pushnami enables brands to capture more subscribers, intelligently market to them quickly, and grow their revenue. Our clients love what weve built so far, and we cant wait to make it even better. And since Pushnami is 100% privately held (zero outside funding or investment) and has been profitable from day one, we are accountable to only our clients and ourselves.

We are looking for an ambitious, analytical individual who is not afraid of solving complex challenges to join our Data Science team as a Data Reporting Analyst. You will be responsible for automating and designing reports and alerts to monitor system performance to enhance visibility into our KPIs.

Responsibilities
Own BI reporting and automated metric monitoring across multiple teams.
Develop frameworks for developing new BI reports and alert systems.
Design complex ad-hoc reports according to internal requests.
Produce detailed reporting identifying key trends and patterns and translate data into practical and useful recommendations to support strategic objectives
Identify continuous improvement opportunities that increase efficiency and drive automation of various processes.
Work with a variety of data sources, including databases and APIs.
Create solutions by applying the latest automation technologies
Work closely with internal stakeholders to identify automation needs and help develop solutions, collaborating with our software development team when needed.
Requirements
2+ years of reporting, automation, and scripting experience (Python 3.x is preferred)
2+ years of experience with relational databases (PostgreSQL, MySQL)
2+ years of experience visualizing data and creating dashboards (Grafana/Tableau/Power BI/Google Data Studio/etc.)
Experience using a cloud hosting platform (AWS preferred)
Bonus if you have experience with financial data
Excellent written and verbal communication skills
A desire and willingness to learn
Initiative and motivation to make things happen
Benefits
Full Medical and Dental PPO Insurance that is 100% paid for by the company
Maximum Matched 401k Retirement Plan
Fun and Relaxed Office Environment
Fully stocked kitchen, catered lunches Monday - Thursday
Ability to set a daily work schedule that works best for you
Pushnami was built on the principles of positivity and acceptance. We strive to build an inclusive work environment that uses our success to make a genuine impact on the community around us. No employee or applicant will face discrimination/harassment based on race, color, ancestry, national origin, age, gender, marital domestic partner status, sexual orientation, gender identity, disability status, or veteran status.","Pushnami
4.6","Austin, TX",1 to 50 employees,Company - Private,Advertising & Marketing
"Senior Business/Data Analyst - WW Sales Finance Process, Analytics, and Reporting",$51K-$93K (Glassdoor est.),72000,"Posted: Jul 10, 2020
Weekly Hours: 40
Role Number:
200176847
Imagine what you could do here. At Apple, new ideas have a way of becoming great products, services, and customer experiences very quickly. Bring passion and dedication to your job and there's no telling what you could accomplish.

Do you love thinking analytically? Are you passionate about using your financial knowledge to navigate complex challenges? Just as our customers find value in Apple products, the Finance group finds value for both Apple and its shareholders. As part of this group, you’ll play an integral role in ensuring our day-to-day financial health. You and your team will support Apple’s growth, both top and bottom line, by applying the same level of innovation toward financial matters as we do toward our products and services. You’ll also collaborate with Apple teams across the world to develop more effective investment strategies and risk management. Finance is crucial to upholding our global dedication to excellence, and it is directly responsible for crafting the company’s future.

Join us, and you will have a meaningful role in continuing Apple’s legacy of efficiency and success. We are looking for an outgoing professional with high analytical capacity, creativity, and strong communication skills to support the Worldwide Sales Organization. The position requires the ability to understand and work with sophisticated data set in order to drive insights. The position will work cross-functionally with Sales, Finance and Technical teams to help develop new tools, processes and analysis for senior sales/finance executives.
Key Qualifications
KEY QUALIFICATIONS
At least 8 years project and/or data management experience
Technical understanding with ability to articulate complex technical issues in easy to understand business terms
Self-motivated, driven individual who is comfortable working in a global, fast-paced environment
Strong team orientation and collaborative style. Flexible demeanor and an ability to get involved in the details while maintaining a wider view
Excellent process management, planning, and organizational skills. Resilient and determined to ensure projects and deliverables are achieved, driving projects from inception to deployment
Strong verbal and written communication skills
Plus: Understanding of data management best practices to ensure quality data
Description
This role is a global role working on redesigning the way we capture, govern and process data from our channel partners. You will bring new innovative ideas to review the current process/system and to work on a new design of the process as well as the system. The current dataset is fundamental to manage the business and had gone through a test of time. This is an opportunity to improve and incorporate new technologies and analytics at an enterprise scale, with senior management support.
The ideal candidate is one who has experience on the collection, audit, governance and analytics of omni-channel partner data, ideally in the tech hardware industry. You will be able to work independently and have experience working cross-functionally with Sales, Operations, IT, Data Management and Business Re-Engineering teams, in ground-breaking projects.
You are a top performer in your career with a consistent track record of accomplishments. You should feel comfortable dealing with complex & ambiguous situations, with high analytical capacity, creativity, and strong interpersonal skills to support the project, managing the balance and prioritization between the various organizations.
Understand current process and system - recognise current challenges and identify areas of improvements. Challenge and create/design new efficiencies within process. Drive process changes and handle change.Ownership to drive multiple deliverables within the project.
Lead cross-functional relationship to drive and innovate new processes and design of solution.
Manage professional relationships with external partners, where required, to negotiate for data and/or improvements to data.
Communicate on status of tasks/activities, calling out risks at appropriate times.
Analyze large amount of data that team is working with and being able to present findings to partners.
Education & Experience
Bachelor's degree of a quantitative nature (Finance, Statistics, Computer Science, Mathematics, Engineering, etc.)","Apple
4.1","Santa Clara, CA",10000+ employees,Company - Public,Computer Hardware & Software
